"STOCK_1","REGION_1","HSS_REGION_1"
"SOOS_CR_H","PUGET SOUND","PUGET SOUND"
"NIMPKISH","ECVI","ECVI"
"COWICHAN","ECVI","ECVI"
"SKYKOMISH_SU","PUGET SOUND","PUGET SOUND"
"SKAGIT_SU","PUGET SOUND","PUGET SOUND"
"","",""
"RAPID_SP","SNAKE-SP/SU","COLUMBIA-SNAKE"
"JOHNSON_CR","SNAKE-SP/SU","COLUMBIA-SNAKE"
"ANDREW_CR","STIKINE","SE ALASKA"
"CRIPPLE_CR","UNUK RIVER","SE ALASKA"
"HARRISON","LWFR-F","FRASER"
"SPRING_CR_H","MID COLUMBIA-SP","COLUMBIA-SNAKE"
"STILLAGUAMISHS","PUGET SOUND","PUGET SOUND"
"ELKIN","MUFR","FRASER"
"HANFORD_REACH","UPPER COLUMBIA-SU/F","COLUMBIA-SNAKE"
"YAKOUN","QCI","QCI"
"MORICE","SKEENA BULKLEY","SKEENA"
"L_KALUM@AC","SKEENA LOWER","SKEENA"
"LITTLE_TAHLTAN","STIKINE","SE ALASKA"
"U_ATNARKO","NOMN","BC NORTH COAST"
"CHRISTINA","STIKINE","SE ALASKA"
"L_CARIBOO","MUFR","FRASER"
"SILMILKAMEEN_S","UPPER COLUMBIA-SU/F","COLUMBIA-SNAKE"
"VERRETT","STIKINE","SE ALASKA"
"KWINAMASS","NOMN","BC NORTH COAST"
"CHICKAMIN","ALASKA","ALASKA GENERAL"
"CRANBERRY","NASS","NASS"
"HIRSCH","NOMN","BC NORTH COAST"
"SLAMGEESH","SKEENA UPPER","SKEENA"
"UPPER_PITT","LWFR-SP","FRASER"
"NAKINA","TAKU","SE ALASKA"
"L_CHILCOTI","MUFR","FRASER"
"COTTONWOOD","MUFR","FRASER"
"CLEARWATER","NOTH","FRASER"
"NOOKSACK_SP@KE","PUGET SOUND","PUGET SOUND"
"BAEZAEKO","MUFR","FRASER"
"CHILKO","MUFR","FRASER"
"KLINAKLINI","SOMN","BC SOUTH COAST"
"BLUE","NOTH","FRASER"
"TRASK_HAT_F","NORTH & CENTRAL O","OREGON NORTH & CENTRAL"
"KILBELLA","NOMN","BC NORTH COAST"
"U_DEAN","NOMN","BC NORTH COAST"
"QUINAULT_F","COASTAL WASH","WASHINGTON COAST"
"BATTLE_CREEK","CENTRAL VALLEY-F","CALIFORNIA"
"L_KALUM","SKEENA LOWER","SKEENA"
"TLUPANA","WCVI","WCVI"
"PUNTLEDGE_F","ECVI","ECVI"
"BIG_SILVER","LWFR-SP","FRASER"
"SEASKINNISH","NASS","NASS"
"BEAR","SKEENA UPPER","SKEENA"
"ECSTALL","SKEENA LOWER","SKEENA"
"BUTE","SOMN","BC SOUTH COAST"
"GREEN@KENDAL_F","PUGET SOUND","PUGET SOUND"
