Year,,,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Month,,,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,JUN,JUN,JUN,JUN,JUL,JUL,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,AUG,AUG,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,AUG,AUG,AUG,AUG,JUL,JUL,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,AUG,AUG,JUN,JUN,JUN,JUN,JUN,JUN,JUL,JUL,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG,AUG,AUG,JUN,JUN,JUN,JUN,JUN,JUN,JUL,JUL,JUL,JUL,JUL,JUL,AUG,AUG,AUG,AUG
Area,,,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,SWVI,SWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,SWVI,SWVI,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,Area 123/124,Area 123/124,Area 21/121,Area 21/121,NWVI,NWVI,SWVI,SWVI
n,,,104,,184,,160,,214,,75,,187,,109,,109,,21,,23,,17,,47,,64,,11,,71,,59,,45,,84,,64,,80,,58,,65,,97,,62,,28,,52,,41,,19,,18,,81,,41,,128,,110,,62,,126,,117,,44,,90,,72,,25,,107,,278,,74,,119,,294,
,,,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD,EST,SD
Code,Stock,SMU,NWVI_2008_JUL_EST,NWVI_2008_JUL_SD,SWVI_2008_JUL_EST,SWVI_2008_JUL_SD,NWVI_2008_AUG_EST,NWVI_2008_AUG_SD,SWVI_2008_AUG_EST,SWVI_2008_AUG_SD,NWVI_2009_JUL_EST,NWVI_2009_JUL_SD,SWVI_2009_JUL_EST,SWVI_2009_JUL_SD,NWVI_2009_AUG_EST,NWVI_2009_AUG_SD,SWVI_2009_AUG_EST,SWVI_2009_AUG_SD,Area 123/124_2010_JUN_EST,Area 123/124_2010_JUN_SD,Area 21/121_2010_JUN_EST,Area 21/121_2010_JUN_SD,NWVI_2010_JUL_EST,NWVI_2010_JUL_SD,Area 123/124_2010_JUL_EST,Area 123/124_2010_JUL_SD,Area 21/121_2010_JUL_EST,Area 21/121_2010_JUL_SD,NWVI_2010_AUG_EST,NWVI_2010_AUG_SD,Area 123/124_2010_AUG_EST,Area 123/124_2010_AUG_SD,Area 21/121_2010_AUG_EST,Area 21/121_2010_AUG_SD,NWVI_2011_JUL_EST,NWVI_2011_JUL_SD,SWVI_2011_JUL_EST,SWVI_2011_JUL_SD,NWVI_2011_AUG_EST,NWVI_2011_AUG_SD,SWVI_2011_AUG_EST,SWVI_2011_AUG_SD,NWVI_2012_AUG_EST,NWVI_2012_AUG_SD,SWVI_2012_AUG_EST,SWVI_2012_AUG_SD,NWVI_2013_JUL_EST,NWVI_2013_JUL_SD,Area 123/124_2013_JUL_EST,Area 123/124_2013_JUL_SD,Area 21/121_2013_JUL_EST,Area 21/121_2013_JUL_SD,NWVI_2013_AUG_EST,NWVI_2013_AUG_SD,Area 123/124_2013_AUG_EST,Area 123/124_2013_AUG_SD,Area 21/121_2013_AUG_EST,Area 21/121_2013_AUG_SD,NWVI_2014_JUN_EST,NWVI_2014_JUN_SD,Area 123/124_2014_JUN_EST,Area 123/124_2014_JUN_SD,Area 21/121_2014_JUN_EST,Area 21/121_2014_JUN_SD,NWVI_2014_JUL_EST,NWVI_2014_JUL_SD,Area 123/124_2014_JUL_EST,Area 123/124_2014_JUL_SD,Area 21/121_2014_JUL_EST,Area 21/121_2014_JUL_SD,NWVI_2014_AUG_EST,NWVI_2014_AUG_SD,Area 123/124_2014_AUG_EST,Area 123/124_2014_AUG_SD,Area 21/121_2014_AUG_EST,Area 21/121_2014_AUG_SD,NWVI_2015_JUN_EST,NWVI_2015_JUN_SD,Area 123/124_2015_JUN_EST,Area 123/124_2015_JUN_SD,Area 21/121_2015_JUN_EST,Area 21/121_2015_JUN_SD,NWVI_2015_JUL_EST,NWVI_2015_JUL_SD,Area 123/124_2015_JUL_EST,Area 123/124_2015_JUL_SD,Area 21/121_2015_JUL_EST,Area 21/121_2015_JUL_SD,NWVI_2015_AUG_EST,NWVI_2015_AUG_SD,SWVI_2015_AUG_EST,SWVI_2015_AUG_SD
49,Bowron,Spring 5.2,0.001153846,0.065004838,0.001032609,0.042833662,0,0.033450139,0,0.017481332,0.000666667,0.060868396,0.000374332,0.02193908,0.000825688,0.047324205,0.00146789,0.079090942,0,0.315184712,0.944347826,2.725301781,0,0.269609549,0,0.129433112,0.4175,1.287619296,0,0.210087866,0.000140845,0.104062426,0,0.070584558,0,0.093873206,0,0.068110662,0,0.032358959,0,0.085521783,0,0.08032817,0,0.076946132,0.005876289,0.139426723,0,0.064458459,0.521071429,1.503847816,0,0.134326987,0,0.073115181,0,0.394447866,0,0.397483722,0,0.03426801,0,0.056762605,0.00375,0.088809327,0.001727273,0.075572841,0,0.056427099,0,0.030342934,0.065982906,0.354581116,0,0.205994688,0.000111111,0.057088891,0.074722222,0.476892766,0,0.13908759,0,0.049993599,0.006690647,0.084154402,0.001891892,0.073302066,0.000168067,0.039485191,0.001088435,0.031857795
37,Dome,Spring 5.2,0.267115385,0.665233531,5.43478E-05,0.020368434,0,0.025519738,0,0.02547909,0.000666667,0.054234625,0.000106952,0.033996547,9.17431E-05,0.042074037,0,0.059367752,0,0.131342154,0,0.139153936,0,0.17580296,0,0.11435891,0.00265625,0.116800907,0,0.590172318,0,0.054334012,0,0.045248681,0,0.123662091,0,0.119659483,0,0.044960441,0,0.103903282,0,0.06423283,0,0.048880659,0,0.031945221,0,0.088006804,0.125357143,0.851383399,0,0.04869493,0,0.190318158,0,0.155133222,0,0.086929602,0,0.056169346,0,0.089403511,0.000078125,0.047286373,0.000363636,0.056376961,0,0.059026065,0,0.035636303,0,0.042149913,0,0.052936685,0,0.077571704,0,0.11362131,0,0.09525183,0,0.023366474,0,0.024215124,0,0.104880865,0,0.05291531,0,0.025607405
98,Fontoniko,Spring 5.2,0.000769231,0.072439933,0.002119565,0.059363912,0,0.031459022,0,0.017139994,0,0.101561245,5.34759E-05,0.032042699,0,0.063246438,0,0.040726201,0,0.317263092,0.10173913,0.708782358,0,0.420692867,0,0.085634875,0.00875,0.180621797,0,0.383429224,0,0.037702766,0,0.072227369,0,0.112185925,0,0.057849988,0,0.093831114,0,0.041822871,0,0.074438106,0,0.04482527,0,0.050395996,0,0.078195275,0.0025,0.16796017,0,0.08325864,0,0.070926727,0,0.324551342,0,0.288308432,0,0.027054469,0,0.134739029,0.01546875,0.162103786,0.001090909,0.052864704,0,0.10219746,0,0.040059051,0,0.047253266,0,0.050791909,0.000111111,0.041592463,0.501805556,1.445861007,0,0.099292811,0,0.043264654,0,0.017453595,0,0.059332676,0,0.035540916,0.000170068,0.022150925
64,Goat,Spring 5.2,0.053942308,0.381756036,0.000217391,0.041550747,0,0.028835156,0.001915888,0.043464082,0,0.075971686,0,0.019753048,9.17431E-05,0.039781852,0.034220183,0.275310122,0,0.080528309,0,0.1170654,0,0.151305913,0,0.043750823,0.00109375,0.176320784,0,0.456608947,0,0.049620703,0,0.125849128,0,0.128166221,0,0.072075121,0,0.073253785,0,0.058847089,0,0.087362458,0,0.042077156,0,0.034462528,0,0.077555076,0,0.163069587,0,0.057472434,0,0.117474777,0,0.365613905,0,0.750426588,0,0.054359833,0,0.118328457,0.07265625,0.337304612,0.000909091,0.063078614,0,0.146966596,0,0.032172886,0,0.030039338,0,0.058868947,0.000888889,0.073114574,0,0.07572965,0,0.264917861,0,0.045930979,7.19424E-05,0.022440008,0,0.063664534,0,0.050546052,0,0.022916623
