record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number
"R","4.1","20180108","CDFO","CDFO","C704879","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","5000",,"4.1","2","1","690","0","1","E","1","631770","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704880","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","0000",,"6.5","2","1","890","0","1","E","1","632374","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704881","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","0000",,"5.5","2","1","770","0","1","E","1","052267","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704882","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","0000",,"6.7","2","1","780","0","1","E","1","632280","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704883","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","5000",,"4.5","2","1","710","0","1","E","1","210592","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704886","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","5000",,"3.5","2","1","668","0","1","E","1","632789","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C704887","1","2007","20070623","C","7","25","10","33",,"3","2MS02H024       750","8","5000",,"7","2","1","840","0","1","E","1","210544","12",,,,"00021125","1",,,,,,"2.79"
"R","4.1","20180108","CDFO","CDFO","C684509","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"2.3","2","1","605","0","1","E","1","210589","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684510","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"5.6","2","1","805","0","1","E","1","632378","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684511","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"6","2","1","785","0","1","E","1","210548","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684513","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"9","2","1","915","0","1","E","1","185410","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684514","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"7","2","1","850","0","1","E","1","210520","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684516","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"4.8","2","1","760","0","1","E","1","210544","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684517","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.4","2","1","665","0","1","E","1","632273","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684518","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"6.2","2","1","760","0","1","E","1","632972","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684519","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.2","2","1","680","0","1","E","1","632378","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684520","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.4","2","1","695","0","1","E","1","632579","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684521","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"6.5","2","1","770","0","1","E","1","632577","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684724","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"3.3","2","1","670","0","1","E","1","632395","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684725","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"2","2","1","570","0","1","E","1","210599","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684728","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"3.3","2","1","665","0","1","E","1","632783","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684729","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"5.9","2","1","775","0","1","E","1","210547","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684730","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"2.1","2","1","580","0","1","E","1","210570","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684731","1","2007","20070623","C","7","25","10","33",,"3","2MS01H025       756","27","5000",,"3.5","2","1","685","0","1","E","1","632783","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684749","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"3.5","2","1","670","0","1","E","1","632795","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684750","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"4.7","2","1","740","0","1","E","1","631770","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684751","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.7","2","1","685","0","1","E","1","631769","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684752","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.6","2","1","680","0","1","E","1","631769","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684522","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"7.2","2","1","850","0","1","E","1","093910","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684523","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","5000",,"3.3","2","1","695","0","1","E","1","632281","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C684525","1","2007","20070623","C","7","25","10","33",,"3","2MS01M120       757","27","0000",,"2.2","2","1","590","0","1","E","1","632788","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672095","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       764","6","5000",,,,,"870","0","1","E","1","182334","0",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672096","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       764","6","5000",,,,,"890","0","1","E","1","631979","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672097","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       764","6","5000",,,,,"640","0","1","E","1","632391","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672098","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       764","6","5000",,,,,"830","0","1","E","1","210558","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672099","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       764","6","5000",,,,,"850","0","1","E","1","210541","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672100","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"680","0","1","E","1","632580","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672601","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","0000",,,,,"640","0","1","E","1","632784","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672602","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"900","0","1","E","1","631980","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672603","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"860","0","1","E","1","184924","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672604","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"640","0","1","E","1","632396","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672605","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"690","0","1","E","1","631769","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672606","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"670","0","1","E","1","632391","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672607","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"680","0","1","E","1","632396","12",,,,"00011125","1",,,,,,"2.3"
"R","4.1","20180108","CDFO","CDFO","C672608","1","2007","20070623","C","7","25","10","33",,"3","2MS01H027       766","6","5000",,,,,"890","0","1","E","1","631007","0",,,,"00011125","1",,,,,,"2.3"
