Code,Basin,Short Name,Recoveries,,
2M BMP025CATA IS 13,NWVI,BC MARCATA IS (25-13),1,,
2M BMP025CENT IS 13,NWVI,BC MARCENT IS (25-13),1,,
2M BMM403 000,NWVI,BC MARINE M403-000,31,,
2M BMP126,NWVI,BC MARINE P126,13,,
2M BMP126KYUQUOT,NWVI,BC MARKYUQUOT (P126),1,,
2M BMP127LAWN PT,NWVI,BC MARLAWN PT (P127),1,,
2M BMP027LIPP PT 03,NWVI,BC MARLIPP PT (27-3),1,,
2F 290FW CONU RI,NWVI,FWSPT CONU RI [FW],3,,
2F 290FW WAUK CK,NWVI,FWSPT WAUK CK [FW],2,,
2F 290FW ZEBA RI,NWVI,FWSPT ZEBA RI [FW],4,,
2FS99NWVIH0117,NWVI,H-CONUMA R,4338,,
2MS01H025 000,NWVI,NWTR H025-000,10673,,
2MS01H025 067,NWVI,NWTR H025-067,3973,,
2MS01H026 000,NWVI,NWTR H026-000,27000,,
2MS01H026 094,NWVI,NWTR H026-094,3876,,
2MS01H026 528,NWVI,NWTR H026-528,92,,
2MS01H026 758,NWVI,NWTR H026-758,14,,
2MS01H026 760,NWVI,NWTR H026-760,51,,
2MS01H026 761,NWVI,NWTR H026-761,33,,
2MS01H026 762,NWVI,NWTR H026-762,2,,
2MS01H026 801,NWVI,NWTR H026-801,113,,
2MS01H026 802,NWVI,NWTR H026-802,6,,
2MS01H027 000,NWVI,NWTR H027-000,17808,,
2MS01H027 069,NWVI,NWTR H027-069,2298,,
2MS01H027 070,NWVI,NWTR H027-070,6194,,
2MS01H027 071,NWVI,NWTR H027-071,2286,,
2MS01H027 112,NWVI,NWTR H027-112,2974,,
2MS01H027 184,NWVI,NWTR H027-184,492,,
2MS01H027 247,NWVI,NWTR H027-247,802,,
2MS01H027 248,NWVI,NWTR H027-248,855,,
2MS01H027 249,NWVI,NWTR H027-249,8,,
2MS01H027 529,NWVI,NWTR H027-529,36,,
2MS01H027 530,NWVI,NWTR H027-530,1073,,
2MS01H027 531,NWVI,NWTR H027-531,49,,
2MS01H027 532,NWVI,NWTR H027-532,14,,
2MS01H027 533,NWVI,NWTR H027-533,154,,
