record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
"T","4.1","20200124","CDFO","CDFO","03","025641","9",,,,,"1","3","2005","20060601","20060607","2FS  LWFRR0229","2FS  LWFRH0154","2FS  LWFRS0229","S","H","P",,"5.3","81","N","5000","53222",,,"5000","1799",,,,"0.0327","1","1040",,"TRUCKED TO LOG DUMP ON CHEHALIS RESERVE","R-Harrison R","H-Chehalis River H","S-Harrison R","BC","FRTH","LOFR","N"
"T","4.1","20200124","CDFO","CDFO","03","025650","9",,,,,"1","3","2005","20060606","20060607","2FS  LWFRR0229","2FS  LWFRH0154","2FS  LWFRS0229","S","H","P",,"5.25","79","N","5000","49090",,,"5000","3943",,,,"0.0743","1","1049",,"TRUCKED TO LOG DUMP ON CHEHALIS RESERVE","R-Harrison R","H-Chehalis River H","S-Harrison R","BC","FRTH","LOFR","N"
"T","4.1","20200124","CDFO","CDFO","03","025652","9",,,,,"1","2","2005","20060510","20060511","2FS  TOMFR0161","2FS  TOMFH1958","2FS  TOMFS0161","S","H","P",,"5.38","78","N","5000","50529",,,"0000","78872","5000","1031","B","0.02","28","100",,,"R-Shuswap R Low","H-Shuswap River, Middle,","S-Shuswap R Low","BC","FRTH","UPTR","N"
"T","4.1","20200127","ADFG","SSRAA","01","040920","12",,,,,"1",,"2002","20040514","20040514","1M1SE101 4599997","1F1SE101 4510070","1F1SE101 4510070999","S","H","P","FR","33.66","142","N","5000","9766",,,"0000","64745","5000","89","B","0.009","63","550",,,"HERRING COVE 101-45","WHITMAN LAKE","WHITMAN LAKE H","AK","SEAK","SESE","N"
"T","4.1","20090318","USFWS","USFWS","07","050685","12",,,"D","072008March","1","3","2007","20080305","20080305","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR","3.2","72","N","5000","37376",,,"5000","1785678",,,"B","0.016","19","509",,"SC FCS 72 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20090318","USFWS","USFWS","07","050686","12",,,"D","072008March","1","3","2007","20080305","20080305","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR","3.52","73","N","0000","37419",,,"0000","150",,,"B","0.004","19","502",,"SC FCS 72 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20120201","USFWS","USFWS","07","051173","0",,,,,"1","3","2002","20030508","20030508","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR",,"105","N","0000","120153",,,"0000","3250714",,,"B",,"35","511",,"SC 67 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","N"
"T","4.1","20121220","USFWS","USFWS","07","051267","12",,,,,"1","2","2010","20120417","20120417","3F42001  460042 R","3F42001  460042 H","3F42001  470001 S02","S","H","O","FR","36.78","157","N","5000","70903","0000","141","0000","284",,,"B","0.004","395","503",,"Et SUS 31 Entiat River         Entiat NFH","ENTIAT R     46.0042","ENTIAT NFH","WELLS HATCHERY","WA","UPCR","WECH","N"
"T","4.1","20041207","USFWS","USFWS","07","051576","0",,,,,"1","3","2003","20040414","20040414","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR","6.19","91","N","5000","138177",,,"0000","3791709","5000","10371","B","0.07","40","487",,"SC 68 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20041207","USFWS","USFWS","07","051577","0",,,,,"1","3","2003","20040506","20040506","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR","9.8","102","N","5000","73680",,,"0000","3288565","5000","19552","B","0.21","48","515",,"SC 68 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20060328","USFWS","USFWS","07","051578","12",,,"D","072005SCFCSMay","1","3","2004","20050427","20050428","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K","FR","4.07","75","N","0000","137478",,,"0000","279",,,"B","0.002","29","494",,"SC 69 Columbia River       Spring Creek NFH","SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20041207","USFWS","USFWS","07","051765","12",,,,,"1","7","2003","20031231","20031231","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH",,"H","P","FR",,"129","N","5000","68516","0000","363","5000","3625",,,"C","0.05","20","200",,,"COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20041207","USFWS","USFWS","07","051766","12",,,,,"1","7","2003","20040130","20040130","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH",,"H","B","FR",,"146","N","5000","64983",,,"5000","3420",,,"C","0.05","47","200",,"Spring Chinook salmon surrogate","COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
