"ESTIMATE_TYPE","OPNG_CAT","OPNG_DESC","STAT_WEEK","FISHING_DATE","FISHING.MONTH","FISHING.YEAR","MGMT_AREA","CATCH_REGION","HRS_OPEN","VESSELS_OP","CHINOOK_KEPT","CHINOOK_RELD","COMMENTS"
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-01",1,2007,23,"SWVI",24,1,0,0,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-02",1,2007,23,"SWVI",24,0,0,0,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-03",1,2007,23,"SWVI",24,0,0,0,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-04",1,2007,23,"SWVI",24,0,0,0,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-05",1,2007,23,"SWVI",24,1,55,10,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/1","2007-01-06",1,2007,23,"SWVI",24,2,19,9,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-07",1,2007,23,"SWVI",24,1,20,6,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-08",1,2007,23,"SWVI",24,2,21,8,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-09",1,2007,23,"SWVI",24,0,0,0,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-10",1,2007,23,"SWVI",24,1,15,4,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-11",1,2007,23,"SWVI",24,2,26,6,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-12",1,2007,23,"SWVI",24,1,5,4,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/2","2007-01-13",1,2007,23,"SWVI",24,2,11,7,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/3","2007-01-14",1,2007,23,"SWVI",24,3,20,9,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/3","2007-01-15",1,2007,23,"SWVI",24,4,26,9,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/3","2007-01-16",1,2007,23,"SWVI",24,3,13,5,NA
"IN-SEASON","Full Fleet","Area G TR / WCVI Aggr. CN / January 1-31"," 01/3","2007-01-17",1,2007,23,"SWVI",24,4,29,9,NA
