"","ESTIMATE_TYPE","LICENCE_AREA","OPNG_CAT","OPNG_DESC","TARGETS_CHINOOK","STAT_WEEK","FISHING_DATE","FISHING.MONTH","FISHING.YEAR","MGMT_AREA","AREA_NAME","CATCH_REGION","HRS_OPEN","VESSELS_OP","CHINOOK_KEPT","CHINOOK_RELD","COMMENTS"
"1","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/2",2009-09-09,9,2009,123,"management area 123","SWVI",24,0,0,0,NA
"2","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/2",2009-09-10,9,2009,123,"management area 123","SWVI",24,1,0,94,NA
"3","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/2",2009-09-11,9,2009,123,"management area 123","SWVI",24,1,0,139,NA
"4","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/2",2009-09-12,9,2009,123,"management area 123","SWVI",24,1,0,73,NA
"5","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/3",2009-09-13,9,2009,123,"management area 123","SWVI",24,1,0,63,NA
"6","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 9 - 14","YES"," 09/3",2009-09-14,9,2009,123,"management area 123","SWVI",24,1,0,101,NA
"7","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/1",2010-09-04,9,2010,123,"management area 123","SWVI",24,0,0,0,NA
"8","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-05,9,2010,123,"management area 123","SWVI",24,1,0,69,NA
"9","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-06,9,2010,123,"management area 123","SWVI",24,1,0,126,NA
"10","IN-SEASON","Area G - Salmon Troll","Exploratory","Area G TR / CN DNA Sampling / Sep 4 - 10","YES"," 09/2",2010-09-07,9,2010,123,"management area 123","SWVI",24,1,0,150,NA
