"","CATCH_REGION","FISHING.MONTH","FISHING.YEAR","MGMT_AREA","daysWithData"
"1","NWVI",1,2007,25,31
"2","NWVI",1,2007,26,31
"3","NWVI",1,2007,27,31
"4","NWVI",1,2007,125,31
"5","NWVI",1,2007,126,31
"6","NWVI",1,2007,127,31
"7","NWVI",1,2008,25,17
"8","NWVI",1,2008,26,17
"9","NWVI",1,2008,27,17
"10","NWVI",1,2008,125,17
"11","NWVI",1,2008,126,17
"12","NWVI",1,2008,127,17
"13","NWVI",1,2009,25,26
"14","NWVI",1,2009,26,26
"15","NWVI",1,2009,27,26
"16","NWVI",1,2009,125,26
"17","NWVI",1,2009,126,26
"18","NWVI",1,2009,127,26
"19","NWVI",1,2012,25,31
"20","NWVI",1,2012,26,31
"21","NWVI",1,2012,27,31
"22","NWVI",1,2012,125,31
"23","NWVI",1,2012,126,31
"24","NWVI",1,2012,127,31
"25","NWVI",1,2013,25,31
"26","NWVI",1,2013,26,31
"27","NWVI",1,2013,27,31
"28","NWVI",1,2013,125,31
"29","NWVI",1,2013,126,31
"30","NWVI",1,2013,127,31
"31","NWVI",1,2014,25,31
"32","NWVI",1,2014,26,31
"33","NWVI",1,2014,27,31
"34","NWVI",1,2014,125,31
"35","NWVI",1,2014,126,31
"36","NWVI",1,2014,127,31
"37","NWVI",1,2015,25,31
"38","NWVI",1,2015,26,31
"39","NWVI",1,2015,27,31
"40","NWVI",1,2015,125,31
"41","NWVI",1,2015,126,31
"42","NWVI",1,2015,127,31
"43","NWVI",2,2007,25,28
"44","NWVI",2,2007,26,28
"45","NWVI",2,2007,27,28
"46","NWVI",2,2007,125,28
"47","NWVI",2,2007,126,28
"48","NWVI",2,2007,127,28
"49","NWVI",2,2008,25,29
"50","NWVI",2,2008,26,29
"51","NWVI",2,2008,27,29
"52","NWVI",2,2008,125,29
"53","NWVI",2,2008,126,29
"54","NWVI",2,2008,127,29
"55","NWVI",2,2009,25,28
"56","NWVI",2,2009,26,28
"57","NWVI",2,2009,27,28
"58","NWVI",2,2009,125,28
"59","NWVI",2,2009,126,28
"60","NWVI",2,2009,127,28
"61","NWVI",2,2011,25,9
"62","NWVI",2,2011,26,9
"63","NWVI",2,2011,27,9
"64","NWVI",2,2011,125,9
"65","NWVI",2,2011,126,9
"66","NWVI",2,2011,127,9
"67","NWVI",2,2012,25,29
"68","NWVI",2,2012,26,29
"69","NWVI",2,2012,27,29
"70","NWVI",2,2012,125,29
"71","NWVI",2,2012,126,29
"72","NWVI",2,2012,127,29
"73","NWVI",2,2013,25,28
"74","NWVI",2,2013,26,28
"75","NWVI",2,2013,27,28
"76","NWVI",2,2013,125,28
"77","NWVI",2,2013,126,28
"78","NWVI",2,2013,127,28
"79","NWVI",2,2014,25,28
"80","NWVI",2,2014,26,28
"81","NWVI",2,2014,27,28
"82","NWVI",2,2014,125,28
"83","NWVI",2,2014,126,28
"84","NWVI",2,2014,127,28
"85","NWVI",2,2015,25,28
"86","NWVI",2,2015,26,28
"87","NWVI",2,2015,27,28
"88","NWVI",2,2015,125,28
"89","NWVI",2,2015,126,28
"90","NWVI",2,2015,127,28
"91","NWVI",3,2007,25,21
"92","NWVI",3,2007,26,21
"93","NWVI",3,2007,27,21
"94","NWVI",3,2007,125,21
"95","NWVI",3,2007,126,21
"96","NWVI",3,2007,127,21
"97","NWVI",3,2009,25,15
"98","NWVI",3,2009,26,15
"99","NWVI",3,2009,27,15
"100","NWVI",3,2009,125,15
"101","NWVI",3,2009,126,15
"102","NWVI",3,2009,127,15
"103","NWVI",3,2011,25,15
"104","NWVI",3,2011,26,15
"105","NWVI",3,2011,27,15
"106","NWVI",3,2011,125,15
"107","NWVI",3,2011,126,15
"108","NWVI",3,2011,127,15
"109","NWVI",3,2012,25,15
"110","NWVI",3,2012,26,15
"111","NWVI",3,2012,27,15
"112","NWVI",3,2012,125,15
"113","NWVI",3,2012,126,15
"114","NWVI",3,2012,127,15
"115","NWVI",3,2013,25,15
"116","NWVI",3,2013,26,15
"117","NWVI",3,2013,27,15
"118","NWVI",3,2013,125,15
"119","NWVI",3,2013,126,15
"120","NWVI",3,2013,127,15
"121","NWVI",3,2014,25,15
"122","NWVI",3,2014,26,15
"123","NWVI",3,2014,27,15
"124","NWVI",3,2014,125,15
"125","NWVI",3,2014,126,15
"126","NWVI",3,2014,127,15
"127","NWVI",3,2015,25,15
"128","NWVI",3,2015,26,15
"129","NWVI",3,2015,27,15
"130","NWVI",3,2015,125,15
"131","NWVI",3,2015,126,15
"132","NWVI",3,2015,127,15
"133","NWVI",4,2007,25,24
"134","NWVI",4,2007,26,24
"135","NWVI",4,2007,27,24
"136","NWVI",4,2007,125,24
"137","NWVI",4,2007,126,24
"138","NWVI",4,2007,127,24
"139","NWVI",4,2008,25,11
"140","NWVI",4,2008,26,11
"141","NWVI",4,2008,27,11
"142","NWVI",4,2008,125,11
"143","NWVI",4,2008,126,11
"144","NWVI",4,2008,127,11
"145","NWVI",4,2009,25,11
"146","NWVI",4,2009,26,11
"147","NWVI",4,2009,27,11
"148","NWVI",4,2009,125,11
"149","NWVI",4,2009,126,11
"150","NWVI",4,2009,127,11
"151","NWVI",4,2010,25,12
"152","NWVI",4,2010,26,12
"153","NWVI",4,2010,27,12
"154","NWVI",4,2010,125,12
"155","NWVI",4,2010,126,12
"156","NWVI",4,2010,127,12
"157","NWVI",4,2011,25,5
"158","NWVI",4,2011,26,5
"159","NWVI",4,2011,27,5
"160","NWVI",4,2011,125,5
"161","NWVI",4,2011,126,5
"162","NWVI",4,2011,127,5
"163","NWVI",4,2012,25,6
"164","NWVI",4,2012,26,6
"165","NWVI",4,2012,27,6
"166","NWVI",4,2012,125,6
"167","NWVI",4,2012,126,6
"168","NWVI",4,2012,127,6
"169","NWVI",4,2013,25,6
"170","NWVI",4,2013,26,6
"171","NWVI",4,2013,27,6
"172","NWVI",4,2013,125,6
"173","NWVI",4,2013,126,6
"174","NWVI",4,2013,127,6
"175","NWVI",4,2014,25,12
"176","NWVI",4,2014,26,12
"177","NWVI",4,2014,27,12
"178","NWVI",4,2014,125,12
"179","NWVI",4,2014,126,12
"180","NWVI",4,2014,127,12
"181","NWVI",4,2015,25,12
"182","NWVI",4,2015,26,12
"183","NWVI",4,2015,27,12
"184","NWVI",4,2015,125,12
"185","NWVI",4,2015,126,12
"186","NWVI",4,2015,127,12
"187","NWVI",5,2007,25,31
"188","NWVI",5,2007,26,31
"189","NWVI",5,2007,27,31
"190","NWVI",5,2007,125,31
"191","NWVI",5,2007,126,31
"192","NWVI",5,2007,127,31
"193","NWVI",5,2008,25,31
"194","NWVI",5,2008,26,31
"195","NWVI",5,2008,27,31
"196","NWVI",5,2008,125,31
"197","NWVI",5,2008,126,31
"198","NWVI",5,2008,127,31
"199","NWVI",5,2009,25,24
"200","NWVI",5,2009,26,24
"201","NWVI",5,2009,27,24
"202","NWVI",5,2009,125,24
"203","NWVI",5,2009,126,24
"204","NWVI",5,2009,127,24
"205","NWVI",5,2010,25,22
"206","NWVI",5,2010,26,22
"207","NWVI",5,2010,27,22
"208","NWVI",5,2010,125,22
"209","NWVI",5,2010,126,22
"210","NWVI",5,2010,127,22
"211","NWVI",5,2011,25,14
"212","NWVI",5,2011,26,14
"213","NWVI",5,2011,27,14
"214","NWVI",5,2011,125,14
"215","NWVI",5,2011,126,14
"216","NWVI",5,2011,127,13
"217","NWVI",5,2012,25,11
"218","NWVI",5,2012,26,11
"219","NWVI",5,2012,27,11
"220","NWVI",5,2012,125,11
"221","NWVI",5,2012,126,11
"222","NWVI",5,2012,127,11
"223","NWVI",5,2013,25,15
"224","NWVI",5,2013,26,15
"225","NWVI",5,2013,27,15
"226","NWVI",5,2013,125,15
"227","NWVI",5,2013,126,15
"228","NWVI",5,2013,127,15
"229","NWVI",5,2014,25,30
"230","NWVI",5,2014,26,30
"231","NWVI",5,2014,27,30
"232","NWVI",5,2014,125,30
"233","NWVI",5,2014,126,30
"234","NWVI",5,2014,127,30
"235","NWVI",5,2015,25,31
"236","NWVI",5,2015,26,31
"237","NWVI",5,2015,27,31
"238","NWVI",5,2015,125,31
"239","NWVI",5,2015,126,31
"240","NWVI",5,2015,127,31
"241","NWVI",6,2007,25,15
"242","NWVI",6,2007,26,15
"243","NWVI",6,2007,27,15
"244","NWVI",6,2007,125,15
"245","NWVI",6,2007,126,15
"246","NWVI",6,2007,127,15
"247","NWVI",6,2008,25,15
"248","NWVI",6,2008,26,15
"249","NWVI",6,2008,27,15
"250","NWVI",6,2008,125,15
"251","NWVI",6,2008,126,15
"252","NWVI",6,2008,127,15
"253","NWVI",6,2009,25,7
"254","NWVI",6,2009,26,7
"255","NWVI",6,2009,27,7
"256","NWVI",6,2009,125,7
"257","NWVI",6,2009,126,7
"258","NWVI",6,2009,127,7
"259","NWVI",6,2010,25,7
"260","NWVI",6,2010,26,7
"261","NWVI",6,2010,27,7
"262","NWVI",6,2010,125,7
"263","NWVI",6,2010,126,7
"264","NWVI",6,2010,127,7
"265","NWVI",6,2011,25,6
"266","NWVI",6,2011,26,6
"267","NWVI",6,2011,27,6
"268","NWVI",6,2011,125,6
"269","NWVI",6,2011,126,6
"270","NWVI",6,2011,127,6
"271","NWVI",7,2011,125,4
