"","tempFish","statArea","year","month","week","jDay","gear","fishNum","date","regName","aggProb","Region"
"1","123_2007_troll_110_54","123","2007",4,16,"110","troll","54",2007-04-21,"Fraser River",1,"Region 1"
"2","123_2007_troll_110_54","123","2007",4,16,"110","troll","54",2007-04-21,"Puget Sound",0,"Region 2"
"3","123_2007_troll_110_55","123","2007",4,16,"110","troll","55",2007-04-21,"SOG",0.98,"Region 1"
"4","123_2007_troll_110_55","123","2007",4,16,"110","troll","55",2007-04-21,"Puget Sound",0.02,"Region 2"
"5","123_2007_troll_110_56","123","2007",4,16,"110","troll","56",2007-04-21,"Puget Sound",0.99,"Region 1"
"6","123_2007_troll_110_57","123","2007",4,16,"110","troll","57",2007-04-21,"Oregon/California",0.97,"Region 1"
"7","123_2007_troll_110_57","123","2007",4,16,"110","troll","57",2007-04-21,"Snake",0.01,"Region 2"
"8","123_2007_troll_110_58","123","2007",4,16,"110","troll","58",2007-04-21,"Puget Sound",0.94,"Region 1"
"9","123_2007_troll_110_59","123","2007",4,16,"110","troll","59",2007-04-21,"Puget Sound",0.86,"Region 1"
"10","123_2007_troll_110_60","123","2007",4,16,"110","troll","60",2007-04-21,"Columbia",1,"Region 1"
"11","123_2007_troll_110_60","123","2007",4,16,"110","troll","60",2007-04-21,NA,NA,"Region 2"
"12","123_2007_troll_110_61","123","2007",4,16,"110","troll","61",2007-04-21,"Columbia",0.99,"Region 1"
"13","123_2007_troll_110_62","123","2007",4,16,"110","troll","62",2007-04-21,"Puget Sound",0.9,"Region 1"
"14","123_2007_troll_110_63","123","2007",4,16,"110","troll","63",2007-04-21,"Columbia",1,"Region 1"
"15","123_2007_troll_110_64","123","2007",4,16,"110","troll","64",2007-04-21,"Puget Sound",0.97,"Region 1"
"16","123_2007_troll_110_65","123","2007",4,16,"110","troll","65",2007-04-21,"Columbia",1,"Region 1"
"17","123_2007_troll_110_66","123","2007",4,16,"110","troll","66",2007-04-21,"Columbia",1.01,"Region 1"
"18","123_2007_troll_110_67","123","2007",4,16,"110","troll","67",2007-04-21,"Puget Sound",0.95,"Region 1"
"19","123_2007_troll_110_68","123","2007",4,16,"110","troll","68",2007-04-21,"Puget Sound",0.81,"Region 1"
"20","123_2007_troll_111_100","123","2007",4,16,"111","troll","100",2007-04-22,"Columbia",0.98,"Region 1"
"21","123_2007_troll_111_101","123","2007",4,16,"111","troll","101",2007-04-22,"Puget Sound",0.68,"Region 1"
"22","123_2007_troll_111_102","123","2007",4,16,"111","troll","102",2007-04-22,"Puget Sound",0.98,"Region 1"
"23","123_2007_troll_111_103","123","2007",4,16,"111","troll","103",2007-04-22,"Puget Sound",0.91,"Region 1"
"24","123_2007_troll_111_104","123","2007",4,16,"111","troll","104",2007-04-22,"Puget Sound",0.81,"Region 1"
"25","123_2007_troll_111_105","123","2007",4,16,"111","troll","105",2007-04-22,"Puget Sound",0.88,"Region 1"
"26","123_2007_troll_111_106","123","2007",4,16,"111","troll","106",2007-04-22,"Puget Sound",0.97,"Region 1"
"27","123_2007_troll_111_107","123","2007",4,16,"111","troll","107",2007-04-22,"Puget Sound",0.9,"Region 1"
"28","123_2007_troll_111_108","123","2007",4,16,"111","troll","108",2007-04-22,"Puget Sound",0.89,"Region 1"
"29","123_2007_troll_111_69","123","2007",4,16,"111","troll","69",2007-04-22,"Puget Sound",0.35,"Region 1"
"30","123_2007_troll_111_69","123","2007",4,16,"111","troll","69",2007-04-22,"Columbia",0.14,"Region 2"
"31","123_2007_troll_111_69","123","2007",4,16,"111","troll","69",2007-04-22,"Snake",0.1,"Region 3"
"32","123_2007_troll_111_70","123","2007",4,16,"111","troll","70",2007-04-22,"Puget Sound",0.9,"Region 1"
"33","123_2007_troll_111_71","123","2007",4,16,"111","troll","71",2007-04-22,"Columbia",0.47,"Region 1"
"34","123_2007_troll_111_71","123","2007",4,16,"111","troll","71",2007-04-22,"Puget Sound",0.37,"Region 2"
"35","123_2007_troll_111_72","123","2007",4,16,"111","troll","72",2007-04-22,"Columbia",0.99,"Region 1"
"36","123_2007_troll_111_73","123","2007",4,16,"111","troll","73",2007-04-22,"Columbia",0.99,"Region 1"
"37","123_2007_troll_111_74","123","2007",4,16,"111","troll","74",2007-04-22,"Columbia",0.98,"Region 1"
"38","123_2007_troll_111_75","123","2007",4,16,"111","troll","75",2007-04-22,"Puget Sound",0.84,"Region 1"
"39","123_2007_troll_111_76","123","2007",4,16,"111","troll","76",2007-04-22,"Columbia",1,"Region 1"
"40","123_2007_troll_111_77","123","2007",4,16,"111","troll","77",2007-04-22,"Columbia",1,"Region 1"
"41","123_2007_troll_111_78","123","2007",4,16,"111","troll","78",2007-04-22,"Fraser River",0.98,"Region 1"
"42","123_2007_troll_111_78","123","2007",4,16,"111","troll","78",2007-04-22,"Puget Sound",0.02,"Region 2"
"43","123_2007_troll_111_78","123","2007",4,16,"111","troll","78",2007-04-22,"Columbia",0,"Region 3"
"44","123_2007_troll_111_79","123","2007",4,16,"111","troll","79",2007-04-22,"Fraser River",1,"Region 1"
"45","123_2007_troll_111_79","123","2007",4,16,"111","troll","79",2007-04-22,NA,NA,"Region 2"
"46","123_2007_troll_111_80","123","2007",4,16,"111","troll","80",2007-04-22,"Fraser River",0.99,"Region 1"
"47","123_2007_troll_111_80","123","2007",4,16,"111","troll","80",2007-04-22,"Puget Sound",0.01,"Region 2"
"48","123_2007_troll_111_80","123","2007",4,16,"111","troll","80",2007-04-22,"Oregon/California",0,"Region 3"
"49","123_2007_troll_111_81","123","2007",4,16,"111","troll","81",2007-04-22,"Puget Sound",0.98,"Region 1"
"50","123_2007_troll_111_82","123","2007",4,16,"111","troll","82",2007-04-22,"Puget Sound",0.9,"Region 1"
"51","123_2007_troll_111_83","123","2007",4,16,"111","troll","83",2007-04-22,"Coastal Washington",1,"Region 1"
"52","123_2007_troll_111_83","123","2007",4,16,"111","troll","83",2007-04-22,NA,NA,"Region 2"
"53","123_2007_troll_111_84","123","2007",4,16,"111","troll","84",2007-04-22,"Puget Sound",0.9,"Region 1"
"54","123_2007_troll_111_85","123","2007",4,16,"111","troll","85",2007-04-22,"Puget Sound",0.87,"Region 1"
"55","123_2007_troll_111_86","123","2007",4,16,"111","troll","86",2007-04-22,"Puget Sound",0.96,"Region 1"
"56","123_2007_troll_111_87","123","2007",4,16,"111","troll","87",2007-04-22,"Puget Sound",0.91,"Region 1"
"57","123_2007_troll_111_88","123","2007",4,16,"111","troll","88",2007-04-22,"Puget Sound",0.96,"Region 1"
"58","123_2007_troll_111_89","123","2007",4,16,"111","troll","89",2007-04-22,"Puget Sound",0.91,"Region 1"
"59","123_2007_troll_111_90","123","2007",4,16,"111","troll","90",2007-04-22,"Puget Sound",0.92,"Region 1"
"60","123_2007_troll_111_91","123","2007",4,16,"111","troll","91",2007-04-22,"Puget Sound",0.98,"Region 1"
"61","123_2007_troll_111_92","123","2007",4,16,"111","troll","92",2007-04-22,"Puget Sound",0.96,"Region 1"
"62","123_2007_troll_111_93","123","2007",4,16,"111","troll","93",2007-04-22,"Columbia",0.83,"Region 1"
"63","123_2007_troll_111_93","123","2007",4,16,"111","troll","93",2007-04-22,"Oregon/California",0.15,"Region 2"
"64","123_2007_troll_111_93","123","2007",4,16,"111","troll","93",2007-04-22,"Coastal Washington",0.01,"Region 3"
"65","123_2007_troll_111_94","123","2007",4,16,"111","troll","94",2007-04-22,"Puget Sound",0.98,"Region 1"
"66","123_2007_troll_111_95","123","2007",4,16,"111","troll","95",2007-04-22,"Puget Sound",0.92,"Region 1"
"67","123_2007_troll_111_95","123","2007",4,16,"111","troll","95",2007-04-22,"Columbia",0.03,"Region 2"
"68","123_2007_troll_111_96","123","2007",4,16,"111","troll","96",2007-04-22,"Fraser River",1,"Region 1"
"69","123_2007_troll_111_96","123","2007",4,16,"111","troll","96",2007-04-22,"Puget Sound",0,"Region 2"
"70","123_2007_troll_111_96","123","2007",4,16,"111","troll","96",2007-04-22,NA,NA,"Region 3"
"71","123_2007_troll_111_97","123","2007",4,16,"111","troll","97",2007-04-22,"Fraser River",1,"Region 1"
"72","123_2007_troll_111_97","123","2007",4,16,"111","troll","97",2007-04-22,"Puget Sound",0,"Region 2"
"73","123_2007_troll_111_97","123","2007",4,16,"111","troll","97",2007-04-22,"SOG",0,"Region 3"
"74","123_2007_troll_111_98","123","2007",4,16,"111","troll","98",2007-04-22,"SOG",1,"Region 1"
"75","123_2007_troll_111_99","123","2007",4,16,"111","troll","99",2007-04-22,"Columbia",1,"Region 1"
"76","123_2007_troll_113_109","123","2007",4,17,"113","troll","109",2007-04-24,"Columbia",0.8,"Region 1"
"77","123_2007_troll_113_109","123","2007",4,17,"113","troll","109",2007-04-24,"Coastal Washington",0.14,"Region 2"
"78","123_2007_troll_113_109","123","2007",4,17,"113","troll","109",2007-04-24,"Oregon/California",0.02,"Region 3"
"79","123_2007_troll_113_110","123","2007",4,17,"113","troll","110",2007-04-24,"Snake",0.88,"Region 1"
"80","123_2007_troll_113_110","123","2007",4,17,"113","troll","110",2007-04-24,"Columbia",0.11,"Region 2"
"81","123_2007_troll_113_111","123","2007",4,17,"113","troll","111",2007-04-24,"Fraser River",1,"Region 1"
"82","123_2007_troll_113_111","123","2007",4,17,"113","troll","111",2007-04-24,"Puget Sound",0,"Region 2"
"83","123_2007_troll_113_112","123","2007",4,17,"113","troll","112",2007-04-24,"Fraser River",1,"Region 1"
"84","123_2007_troll_113_112","123","2007",4,17,"113","troll","112",2007-04-24,NA,NA,"Region 2"
"85","123_2007_troll_113_113","123","2007",4,17,"113","troll","113",2007-04-24,"Puget Sound",0.97,"Region 1"
"86","123_2007_troll_113_114","123","2007",4,17,"113","troll","114",2007-04-24,"Columbia",1,"Region 1"
"87","123_2007_troll_113_114","123","2007",4,17,"113","troll","114",2007-04-24,NA,NA,"Region 2"
"88","123_2007_troll_113_115","123","2007",4,17,"113","troll","115",2007-04-24,"Fraser River",0.98,"Region 1"
"89","123_2007_troll_113_115","123","2007",4,17,"113","troll","115",2007-04-24,"Puget Sound",0.02,"Region 2"
"90","123_2007_troll_113_116","123","2007",4,17,"113","troll","116",2007-04-24,"Puget Sound",0.94,"Region 1"
"91","123_2007_troll_113_117","123","2007",4,17,"113","troll","117",2007-04-24,"Columbia",0.94,"Region 1"
"92","123_2007_troll_113_117","123","2007",4,17,"113","troll","117",2007-04-24,"Fraser River",0.05,"Region 2"
"93","123_2007_troll_113_118","123","2007",4,17,"113","troll","118",2007-04-24,"SOG",1,"Region 1"
"94","123_2007_troll_113_118","123","2007",4,17,"113","troll","118",2007-04-24,NA,NA,"Region 2"
"95","123_2007_troll_113_119","123","2007",4,17,"113","troll","119",2007-04-24,"Puget Sound",0.88,"Region 1"
"96","123_2007_troll_113_120","123","2007",4,17,"113","troll","120",2007-04-24,"Puget Sound",0.96,"Region 1"
"97","123_2007_troll_113_121","123","2007",4,17,"113","troll","121",2007-04-24,"Puget Sound",0.93,"Region 1"
