year,month,NWVI,SWVI
2012,April,0,0
2013,April,139,27
2014,April,0,0
2015,April,0,0
2016,April,0,0
2012,May,0,0
2013,May,1181,1457
2014,May,1042,1697
2015,May,0,0
2016,May,754,282
2012,June,0,0
2013,June,12,743
2014,June,2519,1154
2015,June,0,0
2016,June,0,0
2012,July,294,830
2013,July,0,0
2014,July,8281,2166
2015,July,5433,422
2016,July,772,508
2012,August,2893,1562
2013,August,3801,290
2014,August,25,21
2015,August,19,302
2016,August,1658,1823
2012,September,297,419
2013,September,0,0
2014,September,0,267
2015,September,0,58
2016,September,0,252
