month,year,area,region,drop,comment
7,2012,24,SWVI,y,only T'aaq in region-strata
7,2012,124,SWVI,y,only T'aaq in region-strata
8,2012,124,SWVI,n,commercial catch in 123
8,2012,125,NWVI,n,commercial catch in 127
9,2012,124,SWVI,n,commercial catch in 123
9,2012,124,SWVI,n,commercial catch in 126/127
4,2013,125,NWVI,n,commercial catch in 126/127
4,2013,126,NWVI,n,commercial catch in 126/127
5,2013,24,SWVI,n,commercial catch in 123/124
5,2013,124,SWVI,n,commercial catch in 123/124
6,2013,24,SWVI,y,only T'aaq in region-strata
6,2013,124,SWVI,y,only T'aaq in region-strata
8,2013,124,SWVI,y,only T'aaq in region-strata
8,2013,125,NWVI,y,only T'aaq in region-strata
5,2014,124,SWVI,n,commercial catch in 123
6,2014,124,SWVI,y,only T'aaq in region-strata
6,2014,126,NWVI,y,only T'aaq in region-strata
7,2014,124,SWVI,y,only T'aaq in region-strata
7,2014,126,NWVI,y,commercial catch in 125/127
7,2015,24,SWVI,n,not in dataset
7,2015,124,SWVI,n,not in dataset
8,2015,24,SWVI,n,not in dataset
8,2015,124,SWVI,n,not in dataset
