sampleID,stock1,stockCode1,prob1,stock2,stockCode2,prob2,stock3,stockCode3,prob3,stock4,stockCode4,prob4,stock5,stockCode5,prob5
Area023 (07) troll 101 122,Nanaimo_SU,7,0.64,Nanaimo_SP,7,0.36,Puntledge_Su,7,0,Puntledge_BackX,7,0,Nanaimo_F,7,0
Area023 (07) troll 101 123,Samish_H,5016,0.36,Hamma_Hamma_R,5005,0.34,Cedar_R_SuFa,5020,0.14,Snoqualmie_R,5016,0.07,Soos_H,5020,0.05
Area023 (07) troll 131 1,L_Skagit_R_Fa,5016,0.46,Cedar_R_SuFa,5020,0.28,Voights_H,5020,0.14,Snoqualmie_R,5016,0.03,Soos_H,5020,0.02
Area023 (07) troll 131 2,Voights_H,5020,0.93,Cedar_R_SuFa,5020,0.04,Soos_H,5020,0.03,Hamma_Hamma_R,5005,0,L_Skagit_R_Fa,5016,0
Area023 (07) troll 131 3,Elochoman_H,5030,0.59,Spring_Cr_col,5030,0.35,Abernathy_NFH_F,5008,0.05,Abernathy_Cr_Fa,5008,0.01,Elochoman_R_Fa,5008,0
Area023 (07) troll 131 4,NF_Nooksack_H,5016,1,Cedar_R_SuFa,5020,0,L_Skagit_R_Fa,5016,0,,,,,,
Area023 (07) troll 131 5,Grovers_Cr_H,5020,0.24,Soos_H,5020,0.19,Samish_H,5016,0.15,Cedar_R_SuFa,5020,0.15,Voights_H,5020,0.14
Area023 (07) troll 16 31,NF_Nooksack_H,5016,0.85,Voights_H,5020,0.12,L_Skagit_R_Fa,5016,0.01,Cedar_R_SuFa,5020,0.01,Soos_H,5020,0.01
Area023 (07) troll 16 32,Cedar_R_SuFa,5020,0.44,Voights_H,5020,0.4,Hamma_Hamma_R,5005,0.11,Soos_H,5020,0.03,L_Skagit_R_Fa,5016,0.02
Area023 (07) troll 16 33,L_Skagit_R_Fa,5016,0.3,Samish_H,5016,0.28,Cedar_R_SuFa,5020,0.18,Voights_H,5020,0.16,Snoqualmie_R,5016,0.02
Area023 (07) troll 16 34,Voights_H,5020,0.34,Cedar_R_SuFa,5020,0.24,Hamma_Hamma_R,5005,0.23,Grovers_Cr_H,5020,0.08,Soos_H,5020,0.06
Area023 (07) troll 16 35,L_Skagit_R_Fa,5016,0.55,Harrison,3,0.39,Voights_H,5020,0.05,Snoqualmie_R,5016,0,Kitlope,10,0
Area023 (07) troll 16 36,NF_Nooksack_H,5016,0.99,Cedar_R_SuFa,5020,0,Voights_H,5020,0,Soos_H,5020,0,Samish_H,5016,0
Area023 (07) troll 16 37,L_Skagit_R_Fa,5016,1,Snoqualmie_R,5016,0,Samish_H,5016,0,,,,,,
Area023 (07) troll 16 38,NF_Nooksack_H,5016,1,Cedar_R_SuFa,5020,0,L_Skagit_R_Fa,5016,0,Marblemount_HSp,5016,0,,,
Area023 (07) troll 16 39,Samish_H,5016,0.26,L_Skagit_R_Fa,5016,0.24,Snoqualmie_R,5016,0.2,Voights_H,5020,0.13,Cedar_R_SuFa,5020,0.12
Area023 (07) troll 16 40,L_Skagit_R_Fa,5016,0.65,Grovers_Cr_H,5020,0.23,Samish_H,5016,0.06,Cedar_R_SuFa,5020,0.02,Hamma_Hamma_R,5005,0.01
Area023 (07) troll 16 41,Marblemount_HSp,5016,1,U_Sauk_R,5016,0,Skagit_R,5016,0,,,,,,
Area023 (07) troll 175 1,L_Skagit_R_Fa,5016,0.54,Cedar_R_SuFa,5020,0.24,Soos_H,5020,0.16,Hamma_Hamma_R,5005,0.03,Snoqualmie_R,5016,0.01
Area023 (07) troll 175 2,Robertson,8,0.98,Gold_R,8,0.02,,,,,,,,,
Area023 (07) troll 175 3,Robertson,8,0.89,Thornton,8,0.09,Gold_R,8,0.02,Tranquil,8,0,,,
Area023 (07) troll 175 4,Voights_H,5020,0.75,Soos_H,5020,0.14,Cedar_R_SuFa,5020,0.1,L_Skagit_R_Fa,5016,0.01,George_Adams_H,5005,0
Area023 (07) troll 175 5,Cedar_R_SuFa,5020,0.5,Samish_H,5016,0.23,Voights_H,5020,0.16,Hamma_Hamma_R,5005,0.09,George_Adams_H,5005,0.01
Area023 (07) troll 175 6,Voights_H,5020,0.65,Cedar_R_SuFa,5020,0.29,Samish_H,5016,0.03,Soos_H,5020,0.01,Snoqualmie_R,5016,0
Area023 (07) troll 175 7,Voights_H,5020,0.48,Hamma_Hamma_R,5005,0.28,Cedar_R_SuFa,5020,0.17,Grovers_Cr_H,5020,0.04,L_Skagit_R_Fa,5016,0.02
Area023 (07) troll 22 42,Cedar_R_SuFa,5020,0.87,Soos_H,5020,0.06,Voights_H,5020,0.04,Hamma_Hamma_R,5005,0.01,Grovers_Cr_H,5020,0.01
Area023 (07) troll 22 43,Cedar_R_SuFa,5020,0.68,Soos_H,5020,0.17,Hamma_Hamma_R,5005,0.12,Voights_H,5020,0.01,Grovers_Cr_H,5020,0.01
Area023 (07) troll 22 44,Samish_H,5016,0.78,Cedar_R_SuFa,5020,0.16,Voights_H,5020,0.03,Hamma_Hamma_R,5005,0.01,L_Skagit_R_Fa,5016,0.01
Area023 (07) troll 22 45,Samish_H,5016,0.73,Voights_H,5020,0.13,Cedar_R_SuFa,5020,0.11,Soos_H,5020,0.01,Hamma_Hamma_R,5005,0.01
Area023 (07) troll 22 46,Cedar_R_SuFa,5020,0.7,Samish_H,5016,0.23,L_Skagit_R_Fa,5016,0.04,Soos_H,5020,0.02,Hamma_Hamma_R,5005,0.01
Area023 (07) troll 22 47,Nanaimo_SU,7,0.66,Nanaimo_SP,7,0.34,Nanaimo_F,7,0,Puntledge_Su,7,0,,,
Area023 (07) troll 22 48,Harrison,3,1,,,,,,,,,,,,
Area023 (07) troll 22 49,Cedar_R_SuFa,5020,0.55,Samish_H,5016,0.43,Voights_H,5020,0.01,L_Skagit_R_Fa,5016,0,Bear_Cr_SuFa,5020,0
Area023 (07) troll 22 50,Cedar_R_SuFa,5020,0.95,L_Skagit_R_Fa,5016,0.03,Samish_H,5016,0.01,Hamma_Hamma_R,5005,0.01,Soos_H,5020,0
Area023 (07) troll 22 51,L_Skagit_R_Fa,5016,0.58,Cedar_R_SuFa,5020,0.27,Hamma_Hamma_R,5005,0.11,Skykomish_R,5016,0.01,Voights_H,5020,0.01
Area023 (07) troll 22 52,L_Skagit_R_Fa,5016,0.85,Marblemount_HSp,5016,0.06,Snoqualmie_R,5016,0.06,Hamma_Hamma_R,5005,0.02,Cedar_R_SuFa,5020,0.01
Area023 (07) troll 22 53,Cedar_R_SuFa,5020,0.62,Soos_H,5020,0.22,Voights_H,5020,0.1,Grovers_Cr_H,5020,0.03,Samish_H,5016,0.01
Area023 (07) troll 22 54,L_Skagit_R_Fa,5016,0.6,Cedar_R_SuFa,5020,0.33,Samish_H,5016,0.04,Snoqualmie_R,5016,0.02,Voights_H,5020,0
