Month,Year,Spring 4.2,Spring 5.2,Summer 5.2,Summer 4.1,Fall,Other,Grand Total
1,2007,0.047570291,0.299345455,0.709373262,0.540834225,458.2159401,4985.989446,5445.802509
1,2008,0.110377358,0.352014415,0.733471547,0.975496755,2.354813057,1629.473827,1634
1,2009,0.100123,0.132366,0.215519,19.10822,183.269212,3191.17456,3394
1,2012,0,0.172767857,4.416407143,0.004146429,10.48954286,113.9171357,129
1,2013,0.023329167,0,0.008483333,0.0318125,7.083583333,1010.888846,1018.036054
1,2014,0,0.020361355,0.004411952,0.000175697,0.664194024,48.32590837,49.01505139
1,2015,0.000522927,0.204072195,0.133795398,0.020612499,6.75020885,178.9353676,186.0445795
2,2007,0.001543,15.48095485,0.004629,0.003086,293.8845301,2277.744068,2587.118811
2,2008,0,2.005560176,1.457822255,0.059150471,94.86153765,1850.805747,1949.189818
2,2009,0.00231,7.72464,0.04543,0.00308,105.63245,1428.18984,1541.59775
2,2011,0.009044022,0.112547826,0.108528261,11.28191467,138.8599,1699.173721,1849.545656
2,2012,0,0.725892857,18.55575714,0.017421429,44.07234286,478.6285857,542
2,2013,0.000453165,0.000453165,0.005891139,0.100602532,18.02824557,339.8679797,358.0036253
2,2014,3.547516,3.324023585,4.049864868,21.12158425,14.92049223,540.4903601,587.453841
2,2015,0.000546341,0.213209756,0.141362356,0.090096641,20.16774059,591.4336199,612.0465756
3,2007,0.066581654,0.316193835,1.24132015,2.270514737,191.7275205,2060.771178,2256.393308
3,2009,0.007618,0.009962,0.325523,9.67486,28.336616,547.894471,586.24905
3,2011,0.004279891,0.05326087,0.051358696,5.33892663,65.7125,804.097894,875.2582201
3,2012,0,0,0.0334125,0.2764125,14.70833438,228.5938969,243.6120563
3,2013,0.000886275,0.000886275,8.612815686,2.320266667,0.327035294,491.7381098,503
3,2014,9.280036,8.64930011,10.58415468,55.25208376,37.52720732,1304.476282,1425.769064
3,2015,0.003324878,1.297533659,0.848994846,0.056923599,28.73772871,700.3389402,731.2834459
4,2007,38.47756552,59.79761931,0.112194483,93.37003655,395.0140676,4743.759606,5330.53109
4,2008,4.816673048,15.47870781,0.123583375,36.39112594,66.84981008,1622.340979,1746.00088
4,2009,0.131984,39.83024,5.597568,99.163376,506.268928,2965.096496,3616.088592
4,2010,0.010781092,69.75366807,0.050311765,74.08407353,1033.36771,7375.790955,8553.057499
4,2011,1.524847328,0.848610687,139.0130382,37.17312595,371.9566718,8141.862641,8692.378935
4,2012,0.217096552,128.5799556,10.3618375,447.2596022,348.4671026,9558.114406,10493
4,2013,0.134848,0.31304,0,21.301168,0,1182.250944,1204
4,2014,0.20879932,89.8865941,100.2509082,448.0197925,261.5529218,12522.61513,13422.53415
4,2015,1.618123404,0.112369681,0,0.102154255,22.757925,3834.069855,3858.660428
5,2007,19.78790404,175.4732685,158.5459532,447.6524238,3918.280408,19508.89866,24228.63862
5,2008,171.3997105,88.36372103,0.631966967,290.8295507,2067.801591,8888.382887,11507.40943
5,2009,2.847504947,122.8341021,85.93432211,259.1704937,2206.539514,15392.62018,18069.94612
5,2010,52.197829,0.285125536,0.639372036,122.8149659,3647.220767,27518.45709,31341.61515
5,2011,0.713968533,88.46971253,55.93215627,1488.285747,3316.399767,36366.19865,41316
5,2012,1.483989333,159.069888,6.498516,861.3240387,967.0190827,20338.61285,22334.00837
5,2013,0.390926407,0.025904762,0.652329004,513.7314632,111.248,25039.95138,25666
5,2014,647.9405028,192.0210229,341.9998319,1408.148617,779.2741379,37086.85478,40456.23889
5,2015,247.2762976,316.4066391,29.67842927,562.8549721,706.1602872,25574.28427,27436.6609
6,2007,7.491376311,517.023049,38.75856958,782.1687165,4213.540503,20183.08833,25742.07054
6,2008,175.6401912,132.1690588,10.05772906,125.1769931,5662.821119,9898.84993,16004.71502
6,2009,48.22125503,163.3075591,88.27585168,1036.306994,825.3244591,10012.13682,12173.57294
6,2010,0.078156894,20.08346655,5.5339303,141.488983,1519.805309,21965.38506,23652.3749
6,2011,132.9365578,168.3525771,0.687877932,997.0097201,4383.770885,28712.29275,34395.05037
7,2011,0.020154839,5.013516129,447.9412903,2547.546419,663.658529,11955.97125,15620.15116
7,2014,0.195694318,12.2484572,368.3569205,1840.540187,1511.798822,22829.26763,26562.40771
8,2008,0.143789919,150.5745623,7.83104285,533.2509917,4419.356739,3988.981528,9100.138654
8,2009,4.699688557,25.26755124,136.236207,679.2966587,1996.206723,6816.116416,9657.823245
8,2010,0.078219696,13.90301031,29.49978269,494.1708673,4573.716299,6553.408289,11664.77647
8,2011,1.78322479,33.24461739,108.5199823,3770.310381,3611.971839,13806.43703,21332.26707
8,2012,8.486535435,17.64826649,0.388665164,142.6348469,500.6787495,3610.16657,4280.003634
8,2014,1.015017778,25.82738667,53.61812889,906.7220489,406.0886089,8608.728809,10002
8,2015,1.915160286,17.3656572,4.066915665,2944.345237,392.5726027,10592.73443,13953
9,2007,0.07404,0.060333053,11.02043579,0.059232,551.8258535,5418.960106,5982
9,2008,0.346839493,0.902298026,0.712460065,167.8045661,16547.69599,28483.01819,45200.48035
9,2009,0,0,0,0,0,0,0
9,2010,0.684551579,1.049852632,2.840496842,0.048122105,904.7102358,3070.669154,3980.002413
9,2011,0,0,0,0,0,0,0
9,2012,0.03612453,0.226493425,0.320900652,50.10401759,1133.408395,16263.51377,17447.6097
9,2013,0,0.017455172,0.034910345,0.074184483,87.40677586,2443.466674,2531
9,2014,0.129221053,0.836689474,1.049921053,4.878094737,938.3527871,14205.97942,15151.22614
9,2015,0.013594681,0.373458476,0.170554496,10.44280638,102.5494328,7235.724085,7349.273932
10,2006,0.317357754,0.030736364,0.072837433,0.055532086,748.0046984,15396.19829,16144.67946
10,2007,0,0.085180123,0.02255537,0.507088827,371.986347,2764.479364,3137.080535
10,2008,0.018451317,0.051396531,0.030354962,15.52557504,569.8111202,1297.890022,1883.32692
10,2012,0,1.24982,0.17138,0.01672,501.28232,2841.37172,3344.09196
10,2013,0.002563043,0.002563043,0.002563043,0.017941304,27.11956304,2330.883,2358.028193
10,2014,0,0.012195968,0.005153226,0,3.435483871,209.5471669,213
11,2006,0.022569638,0.007063636,0.016739037,0.012762032,58.92375508,1139.2589,1198.24179
11,2008,0.001215075,0.232686935,0.002430151,0.045565327,100.8524714,1107.865631,1209
11,2011,0,0.076339286,1.951435714,0.001832143,4.634914286,50.33547857,57
11,2012,0,0.00092,0.00828,0.00138,4.5701,225.41932,230
