record_code,format_version,submission_date,reporting_agency,sampling_agency,recovery_id,species,run_year,recovery_date,recovery_date_type,period_type,period,fishery,gear,adclip_selective_fishery,estimation_level,recovery_location_code,sampling_site,recorded_mark,sex,weight,weight_code,weight_type,length,length_code,length_type,detection_method,tag_status,tag_code,tag_type,sequential_number,sequential_column_number,sequential_row_number,catch_sample_id,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,estimated_number,recovery_location_name,record_origin,release_location_state,release_location_rmis_region,release_location_rmis_basin,hatchery_location_name,stock_location_name,brood_year,run,hatchery_location_code,stock_location_code,last_release_date_year
"R","4.1","20200204","CDFO","CDFO","S1342061","1","2019","201908","C","5","08","40","07","N","4","2MS24P020",,"5000",,,,,,,,"V","1","183693","12",,,,,"3",,,,,,"11.34","JFSPT        P020","N","BC","WCVI","SWVI","H-Robertson Creek H","S-Robertson Cr","2015","3","2FS  SWVIH0104","2FS  SWVIS0104","2016"
"R","4.1","20200124","CDFO","CDFO","S570636","1","2014","20140510","R","5","05","40","07","N","3","2MS23P017FIVE FI 12",,"5000",,,,,"740","0","1","V","1","181590","12",,,,"00231605","3",,,,,,"4.04","GSPTS FIVE FI (17-12)","N","BC","FRTH","LOFR","H-Chilliwack River H","S-Chilliwack R","2010","3","2FS  LWFRH0107","2FS  LWFRS0107","2011"
"R","4.1","20200124","CDFO","CDFO","S785227","1","2014","20140217","R","5","02","40","07","N","3","2MS28M23ANAHM BY 02",,"5000",,,,,"610","0","1","V","1","635899","12",,,,"00281602","3",,,,,,"3.59","ACSPT NAHM BY (23-2)","N","WA","SKAG","UPSK","MARBLEMOUNT HATCHERY","SKAGIT R     03.0176","2010","1","3F10208  031421 H","3F10208  030176 S","2012"
"R","4.1","20200124","CDFO","CDFO","S792983","1","2014","20140202","R","5","02","40","07","N","4","2MS24M19BFLAGPOL 03",,"5000",,,,,"610","0","1","V","1","635768","12",,,,,"3",,,,,,"6.5","JFSPT FLAGPOL (19-3)","N","WA","HOOD","SKDO","GEORGE ADAMS HATCHERY","GEORGE ADAMS (PURDY)","2010","3","3F10412  160005 H","3F10412  160005 S","2011"
"R","4.1","20200124","CDFO","CDFO","S1111424","1","2014","20140101","R","5","01","40","07","N","4","2MS24M19BPEDD BY 05",,"5000",,,,,"670","0","1","V","1","635899","12",,,,,"3",,,,,,"7.2","JFSPT PEDD BY (19-5)","N","WA","SKAG","UPSK","MARBLEMOUNT HATCHERY","SKAGIT R     03.0176","2010","1","3F10208  031421 H","3F10208  030176 S","2012"
"R","4.1","20200124","CDFO","CDFO","S457185","1","2014","20140105","R","5","01","40","07","N","4","2MS24M19BVICTORI 01",,"5000",,,,,"550","0","1","V","1","211005","12",,,,,"3",,,,,,"7.2","JFSPT VICTORI (19-1)","N","WA","NPS","STIL","WHITEHORSE POND","STILLAGUAMISH R -NF","2011","2","3F10308  050254AH","3F10308  050135 S","2012"
"R","4.1","20200124","CDFO","CDFO","S1111407","1","2014","20140225","R","5","02","40","07","N","4","2MS24M19BPEDD BY 05",,"5000",,,,,"450","0","1","V","1","636096","12",,,,,"3",,,,,,"6.5","JFSPT PEDD BY (19-5)","N","WA","SPS","EKPS","MINTER CR HATCHERY","WHITE R      10.0031","2011","1","3F10513  150048 H","3F10511  100031 S","2012"
"R","4.1","20200124","CDFO","CDFO","S535842","1","2014","20140428","R","5","04","40","07","N","3","2MS23P29M",,"5000",,,,,"670","0","1","V","1","182385","12",,,,"00231604","3",,,,,,"4.94","GSPTS        P29M","N","BC","FRTH","LOFR","H-Chilliwack River H","S-Chilliwack R","2011","3","2FS  LWFRH0107","2FS  LWFRS0107","2012"
"R","4.1","20200124","CDFO","CDFO","S553466","1","2014","20140505","R","5","05","40","07","N","3","2MS62P014FREN CR 01",,"5000",,,,,"690","0","1","V","1","181570","12",,,,"00621605","3",,,,,,"4","GSSPTCFREN CR (14-1)","N","BC","GST","GSVI","H-Big Qualicum River H","S-Big Qualicum R","2011","3","2FS  GSVIH0100","2FS  GSVIS0100","2012"
"R","4.1","20200124","CDFO","CDFO","S555392","1","2014","20140312","R","5","03","40","07","N","4","2MS24P020BECH BY 05",,"5000",,,,,"770","0","1","V","1","635683","12",,,,,"3",,,,,,"6.58","JFSPT BECH BY (20-5)","N","WA","NOWA","NOOK","KENDALL CR HATCHERY","NOOKSACK R   01.0120","2010","1","3F10107  010406 H","3F10107  010120 S","2011"
