record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
"T","4.1","20121220","USFWS","USFWS","07","051267","12",,,,,"1","2","2010","20120417","20120417","3F42001  460042 R","3F42001  460042 H","3F42001  470001 S02","S","H","O","FR","36.78","157","N","5000","70903","0000","141","0000","284",,,"B","0.004","395","503",,"Et SUS 31 Entiat River         Entiat NFH","ENTIAT R     46.0042","ENTIAT NFH","WELLS HATCHERY","WA","UPCR","WECH","N"
"T","4.1","20120828","USFWS","USFWS","07","053619","12",,,,,"1","2","2009","20110415","20110415","3F42001  460042 R","3F42001  460042 H","3F42001  470001 S02","S","H","O","FR","37.07","159",,"5000","106429","0000","214","5000","1071",,,"B","0.01","96","503",,"Et SUS 30 Entiat River Entiat NFH","ENTIAT R     46.0042","ENTIAT NFH","WELLS HATCHERY","WA","UPCR","WECH","N"
"T","4.1","20120828","USFWS","USFWS","07","054590","12",,,,,"1","3","2010","20110312","20110312","3F42001  290131 R02","3F42001  290131 H02","3F42001  290159 S","G","H","P","FR","4.73","80",,"5000","187876","0000","2287","5000","1617025",,,"C","0.064","31","533",,"LW FCS 24 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","SPRING CR    29.0159","WA","CECR","WIND","N"
"T","4.1","20100930","USFWS","USFWS","07","054596","12",,,"D","072010Smolt","1","8","2009","20100624","20100624","3F42001  290131 R02","3F42001  290131 H02","5F334    95","G","H","O","FR","5.52","86",,"5000","99562",,,"5000","827250",,,"B","0.004","17","512",,"LW URB 16 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","COLUMBIA R UPRIVER S","WA","CECR","WIND","N"
"T","4.1","20111115","USFWS","USFWS","07","054599","12",,,"D","072011Smolt","1","8","2010","20110623","20110623","3F42001  290131 R02","3F42001  290131 H02","5F334    95","G","H","O","FR","5.99","86",,"5000","96925","0000","2403","5000","804157",,,"C","0.018","29","500",,"LW URB 23 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","COLUMBIA R UPRIVER S","WA","CECR","WIND","N"
"T","4.1","20141030","USFWS","USFWS","07","054793","12",,,,,"1","2","2012","20140409","20140409","3F42001  460042 R","3F42001  460042 H","3F42001  470001 S02","S","H","O","FR","23.73","135","N","5000","173064","0000","667","5000","212505","0000","333","B","0.004","54","523",,"12 Et SUS 33 Entiat River Entiat NFH","ENTIAT R     46.0042","ENTIAT NFH","WELLS HATCHERY","WA","UPCR","WECH","N"
"T","4.1","20110330","USFWS","USFWS","07","055166","12",,,,,"1","3","2009","20100722","20100722","3F21702  210429 R","3F21702  210429 H","3F21702  210429 S","S","H","P","FR","5.05",,"N","5000","42474",,,"5000","59723","0000","7490","B","0.168","28","500",,"QUIN000910","COOK CR      21.0429","QUINAULT NFH -COOK C","COOK CR      21.0429","WA","NWC","QEQU","N"
"T","4.1","20111115","USFWS","USFWS","07","055232","12",,,"D","072011Smolt","1","8","2010","20110623","20110623","3F42001  290131 R02","3F42001  290131 H02","5F334    95","G","H","O","FR","5.02","84",,"5000","96360","0000","2199","5000","804511","0000","400","C","0.014","23","500",,"LW URB 23 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","COLUMBIA R UPRIVER S","WA","CECR","WIND","N"
"T","4.1","20130104","USFWS","USFWS","07","055233","12",,,,,"1","3","2011","20120413","20120413","3F42001  290131 R02","3F42001  290131 H02","3F42001  290159 S","G","H","P","FR","5.04","83","N","5000","94833",,,"5000","744191",,,"B","0.053","43","565",,"LW FCS 32 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","SPRING CR    29.0159","WA","CECR","WIND","N"
"T","4.1","20130104","USFWS","USFWS","07","055260","12",,,,,"1","3","2011","20120413","20120413","3F42001  290131 R02","3F42001  290131 H02","3F42001  290159 S","G","H","P","FR","5.04","83","N","5000","95004",,,"5000","744648",,,"B","0.052","43","499",,"LW FCS 32 L White Salmon River L White Salmon NFH","LTL WHITE SALMON@NFH","LTL WHITE SALMON NFH","SPRING CR    29.0159","WA","CECR","WIND","N"
"T","4.1","20120320","USFWS","USFWS","07","055298","12",,,,,"1","3","2010","20110406","20110605","3F21704  200015 R","3F21704  200015 H","3F21704  200015 S","S","H","K","FR","6.36",,"N","5000","64349",,,"5000","268089","0000","2290","B","0.0147","1","750",,"MAKA001085","TSOO-YESS R      20.0015","MAKAH NFH ON TSOO-YESS R","TSOO-YESS R      20.0015","WA","NWC","QUHO","N"
"T","4.1","20120320","USFWS","USFWS","07","055305","12",,,,,"1","3","2010","20110406","20110605","3F21704  200015 R","3F21704  200015 H","3F21704  200015 S","S","H","K","FR","6.7",,"N","5000","61636",,,"5000","257297","0000","2197","B","0.0162","1","800",,"MAKA001085","TSOO-YESS R      20.0015","MAKAH NFH ON TSOO-YESS R","TSOO-YESS R      20.0015","WA","NWC","QUHO","N"
