record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.1","20200203","CDFO","2MS24M19BBECH BY","1","JFSPT BECH BY (M19B)","48.3244","-123.6128",,,,"JFSPT           STAT AREA: M19B BECHER BAY          M19B","WCVI","SWVI","48.3244","-123.6128","N"
"L","4.1","20171204","CDFO","2MS27P025NOOT SD 07","1","WSPT  NOOT SD (25-7)","49.5906","-126.5844",,,,"WSPT            STAT AREA: P025 NOOTKA SOUND        P025","WCVI","WCVIG","49.55","-126.6667","N"
"L","4.1","20200203","CDFO","2M BMP017HUDS RK 12","1","BC MARHUDS RK (17-12)","49.2244","-123.9239",,,,"BC MARINE       STAT AREA: P017 HUDSON ROCKS        P017","GST","GSVI","49.2244","-123.9239","N"
"L","4.1","20200203","CDFO","2MN26P012BOUG BY 24","1","CSPT  BOUG BY (12-24)","50.5333","-126.1886",,,,"CSPT            STAT AREA: P012 BOUGHEY BAY         P012","JNST","JSM","50.5333","-126.1833","N"
"L","4.1","20200203","CDFO","2MS01H027       768","1","NWTR         H027-768",,,,,,"NWTR            TROLL ZONE 35 (part of PFMA 127)","WCVI","NWVI","50.4","-128.4","N"
"L","4.1","20200203","CDFO","2MS02H021       052","1","SWTR         H021-052",,,,,,"SWTR            SWIFTSURE BANK PFMA SUBS 21-2, PART OF -1)","WCVI","SWVI","48.55","-125","N"
"L","4.1","20200203","CDFO","2MS02H023       178","1","SWTR         H023-178",,,,,,"SWTR            THE WRECK (UCLUELET)","WCVI","SWVI",,,"N"
"L","4.1","20200203","CDFO","2MS02H023       733","1","SWTR         H023-733",,,,,,"SWTR            TROLL ZONE 2 (part of PFMA 123)","WCVI","SWVI","48.4","-125.62","N"
"L","4.1","20200203","CDFO","2MS61P013SUTI CH 14","1","JSSSPTSUTI CH (13-14)","50.1231","-125.0981",,,,"JSSSPT          STAT AREA: P013 SUTIL CHANNEL       P013","JNST","JSM","50.1231","-125.0981","N"
"L","4.1","20200203","CDFO","2MS23P017SHAR PT 07","1","GSPTS SHAR PT (17-7)","48.9814","-123.7686",,,,"GSPTS           STAT AREA: P017 SHARPE POINT        P017","GST","GSVI","48.9833","-123.7833","N"
"L","4.1","20200203","CDFO","2MS27P027DRAK IS 07","1","WSPT  DRAK IS (27-7)","50.5164","-127.6472",,,,"WSPT            STAT AREA: P027 DRAKE ISLAND        P027","WCVI","NWVI","50.5","-127.6667","N"
"L","4.1","20200203","CDFO","2MS27P027LAWN PT 05","1","WSPT  LAWN PT (27-5)","50.3253","-127.9767",,,,"WSPT            STAT AREA: P027 LAWN POINT          P027","WCVI","NWVI","50.3333","-127.9667","N"
"L","4.1","20200203","CDFO","2MS61P013KELS BY 33","1","JSSSPTKELS BY (13-33)","50.3939","-125.9583",,,,"JSSSPT          STAT AREA: P013 KELSEY BAY          P013","JNST","JNSTG","50.3939","-125.9583","N"
"L","4.1","20200203","CDFO","2F 29M333CHEA RI","1","FWSPT CHEA RI [M333]","49.7794","-123.1775",,,,"FWSPT           STAT AREA: M333 CHEAKAMUS RIVER     M333","GST","GSMS","49.7794","-123.1775","N"
"L","4.1","20200203","CDFO","2MS46M107       000","1","FGN & GSN    M107-000",,,,,,"FGN & GSN       PFMA 16, 29 (STAT AREAS 16, 29)","GST","GSTG","49.47","-123.9","N"
"L","4.1","20200203","CDFO","2MS23P018CP KEPP 06","1","GSPTS CP KEPP (18-6)","48.7136","-123.4875",,,,"GSPTS           STAT AREA: P018 CAPE KEPPEL         P018","GST","GSVI","48.7167","-123.5","N"
"L","4.1","20200203","CDFO","2MS24M19BCADB BY 04","1","JFSPT CADB BY (19-4)","48.4514","-123.2883",,,,"JFSPT           STAT AREA: M19B CADBORO BAY         M19B","GST","GSVI","48.45","-123.2833","N"
"L","4.1","20200203","CDFO","2MS01H025       755","1","NWTR         H025-755",,,,,,"NWTR            TROLL ZONE 23 (part of PFMA 125)","WCVI","WCVIG","49.44","-127.1","N"
"L","4.1","20200203","CDFO","2FS99JNSTR0275","1","R-KEOGH R",,,,,,"CDN ESCMENT     KEOGH R              JNST","JNST","JSVI","50.6775","-127.3483","N"
"L","4.1","20200203","CDFO","2MS01H026       801","1","NWTR         H026-801",,,,,,"NWTR            PFMA 126 UNKNOWN TROLL ZONES (OUTSIDE SURFLINE)","WCVI","NWVI","49.3","-128.42","N"
"L","4.1","20200203","CDFO","2MS27H027PR ALIC","1","WSPT  PR ALIC [H027]","50.4267","-127.4881",,,,"WSPT            STAT AREA: H027 PORT ALICE          H027","WCVI","NWVI","50.4267","-127.4881","N"
"L","4.1","20200203","CDFO","2MS22P013MCMU PT 07","1","GSPTN MCMU PT (13-7)","50.2453","-125.3969",,,,"GSPTN           STAT AREA: P013 MCMULLEN POINT      P013","JNST","JNSTG","50.25","-125.4","N"
