ID_NUM,SPECIES,SCIENTIFIC_NAME,SPECIES_URN_LSID,LIFE_STAGE_URN_LABEL,FISH_NUM,DATE_TIME_ISO8601,LOCATION,AREA,TIME_PER,LATITUDE,LONGITUDE,LENGTH,TAG,OTOLITHS,OTOLITH,TRAY_CELL,SCALE,PRESERV,TAG_CODE,SPECIES_AC,SPECIES_AB,BROOD_YEAR,HATCHERY,REL_SITE,PROV_STATE,FIRST_REL,LAST_REL,REMARKS
87-003A,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1987-04-28T09:45-07:00,BLUE HOUSE POINT,1,1,49.1967,-124.8117,174,TRUE,2,,,XVI-4,F,12-22-34,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,LAST 1987 DATABASE UPDATE 1993-09-02
87-003A,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),B,1987-04-28T09:45-07:00,BLUE HOUSE POINT,1,1,49.1967,-124.8117,114,TRUE,2,,,XVI-5,F,02-41-41,COHO,COHO,85,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,4/10/1987,4/20/1987,
87-003A,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),C,1987-04-28T09:45-07:00,BLUE HOUSE POINT,1,1,49.1967,-124.8117,112,TRUE,2,,,XVI-6,F,02-41-43,COHO,COHO,85,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,4/10/1987,4/20/1987,
87-004A,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),A,1987-04-28T11:15-07:00,POLLY POINT,1,1,49.2142,-124.8183,127,TRUE,2,,,XVI-12,F,02-41-42,COHO,COHO,85,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,4/10/1987,4/20/1987,
87-004A,COHO SALMON SMOLT,Oncorhynchus kisutch,urn:lsid:marinespecies.org:taxname:127184,SDN:S11::S1173 (smolt),B,1987-04-28T11:15-07:00,POLLY POINT,1,1,49.2142,-124.8183,124,TRUE,2,,,XVI-13,F,02-41-42,COHO,COHO,85,0104-ROBERTSON CREEK,0104-ROBERTSON CREEK,BC,4/10/1987,4/20/1987,
87-004B,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1987-04-28T12:10-07:00,SPROAT NARROWS,1,1,49.1067,-124.8200,187,TRUE,2,,,XVI-20,F,12-22-50,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,
87-004E,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),B,1987-04-28T15:15-07:00,CHINA CREEK,1,1,49.1655,-124.8080,177,TRUE,2,,,XVI-21,F,12-22-48,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,
87-005,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1987-04-28T20:45-07:00/1987-04-28T21:45-07:00,BLUE HOUSE POINT,1,1,49.1967,-124.8167,184,TRUE,2,,,XVI-19,F,12-22-48,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,
87-006A,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),A,1987-04-29T05:40-07:00/1987-04-29T06:40-07:00,HOIK ISLAND,1,1,49.2350,-124.8317,196,TRUE,2,,,XVI-2,F,12-22-50,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,
87-006A,STEELHEAD SALMON SMOLT,Oncorhynchus mykiss,urn:lsid:marinespecies.org:taxname:127185,SDN:S11::S1173 (smolt),B,1987-04-29T05:40-07:00/1987-04-29T06:40-07:00,HOIK ISLAND,1,1,49.2350,-124.8317,176,TRUE,2,,,XVI-3,F,12-22-50,STEELHE,STEEL,86,0104-ROBERTSON CREEK,0090-SOMASS RIVER,BC,,4/21/1987,
