"id","fishNumber","species","lat","long","year","month","day","julianDay","time","fl","tagCode","broodYr","hatchery","relSite","reg","minRelJulian","maxRelJulian","pres"
"87-081","87-081_A","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",65,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_B","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",83,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_C","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",83,"NO PIN",NA,NA,NA,NA,NA,NA,"F"
"87-081","87-081_D","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",77,"02-45-16",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_E","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",85,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_F","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",75,"02-45-16",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_G","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",76,"02-45-17",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_H","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",87,"02-43-62",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,149,"F"
"87-081","87-081_I","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",84,"02-45-17",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_J","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",74,"NO DATA",NA,NA,NA,NA,NA,NA,"F"
"87-081","87-081_K","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",74,"02-42-56",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",129,149,"F"
"87-081","87-081_L","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",76,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_M","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",83,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_N","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",81,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_O","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",78,"02-46-47",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-081","87-081_P","CHINOOK SALMON SMOLT",49.1967,-124.8167,"1987","05","20",139,"16:45-07:00",80,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-082","87-082_A","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","20",139,"17:40-07:00",82,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-082","87-082_B","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","20",139,"17:40-07:00",83,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-082","87-082_C","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","20",139,"17:40-07:00",73,"02-45-20",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-085A","87-085A_A","CHINOOK SALMON SMOLT",49.145,-124.79,"1987","05","21",140,"08:40-07:00",89,"02-45-20",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-085A","87-085A_B","CHINOOK SALMON SMOLT",49.145,-124.79,"1987","05","21",140,"08:40-07:00",83,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-085A","87-085A_C","CHINOOK SALMON SMOLT",49.145,-124.79,"1987","05","21",140,"08:40-07:00",77,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-085A","87-085A_D","CHINOOK SALMON SMOLT",49.145,-124.79,"1987","05","21",140,"08:40-07:00",81,"02-45-20",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-085A","87-085A_E","CHINOOK SALMON SMOLT",49.145,-124.79,"1987","05","21",140,"08:40-07:00",75,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_A","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",84,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_B","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",104,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_C","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",78,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_D","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",87,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_E","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",77,"02-45-20",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_F","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",82,"02-45-17",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_G","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",77,"02-46-45",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-086","87-086_H","CHINOOK SALMON SMOLT",49.09,-124.83,"1987","05","21",140,"09:35-07:00",82,"02-45-16",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-087","87-087_A","CHINOOK SALMON SMOLT",49.11,-124.815,"1987","05","21",140,"10:40-07:00",80,"02-46-46",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-092A","87-092A_A","CHINOOK SALMON SMOLT",49.1717,-124.8083,"1987","05","22",141,"10:45-07:00",80,"02-46-47",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-092A","87-092A_B","CHINOOK SALMON SMOLT",49.1717,-124.8083,"1987","05","22",141,"10:45-07:00",85,"02-43-61",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,149,"F"
"87-094","87-094_A","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",80,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_B","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",80,"02-45-16",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_C","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",81,"02-46-46",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_D","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",81,"02-42-56",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",129,149,"F"
"87-094","87-094_E","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",80,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_F","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",77,"02-46-47",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_G","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",84,"02-43-63",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,149,"F"
"87-094","87-094_H","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",79,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-094","87-094_I","CHINOOK SALMON SMOLT",49.2142,-124.8183,"1987","05","22",141,"12:10-07:00",80,"02-45-16",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_B","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",86,"02-45-17",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_C","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",80,"02-46-45",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_D","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",84,"02-45-14",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_E","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",76,"02-46-46",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_F","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",80,"02-46-46",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_G","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",83,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_H","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",80,"02-46-45",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-095","87-095_I","CHINOOK SALMON SMOLT",49.225,-124.8117,"1987","05","22",141,"14:15-07:00",83,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-096","87-096_A","CHINOOK SALMON SMOLT",49.2275,-124.8258,"1987","05","22",141,"15:00-07:00",87,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-099","87-099_A","CHINOOK SALMON SMOLT",49.245,-124.8242,"1987","05","23",142,"09:15-07:00",80,"02-46-48",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-099","87-099_B","CHINOOK SALMON SMOLT",49.245,-124.8242,"1987","05","23",142,"09:15-07:00",83,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-101","87-101_A","CHINOOK SALMON SMOLT",49.2217,-124.83,"1987","05","23",142,"11:35-07:00",78,"02-43-63",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,149,"F"
"87-101","87-101_B","CHINOOK SALMON SMOLT",49.2217,-124.83,"1987","05","23",142,"11:35-07:00",89,"02-45-15",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-101","87-101_C","CHINOOK SALMON SMOLT",49.2217,-124.83,"1987","05","23",142,"11:35-07:00",77,"02-46-44",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-101","87-101_D","CHINOOK SALMON SMOLT",49.2217,-124.83,"1987","05","23",142,"11:35-07:00",79,"02-45-18",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
"87-101","87-101_E","CHINOOK SALMON SMOLT",49.2217,-124.83,"1987","05","23",142,"11:35-07:00",78,"02-46-46",86,"0104-ROBERTSON CREEK","0104-ROBERTSON CREEK","BC",134,141,"F"
