Column Name			Column Definition
ID_NUM				The sampling event unique reference number; used to cross-reference with sample examination data.
DATE_TIME_ISO8601	The local date and time, in ISO 8601 format, when the sampling event began and optionally when the sampling event ended (i.e. when value is expressed as a ISO 8601 time interval).
GEAR				The fishing equipment that was used to acquire the sample.
PURPOSE				The reason for initiating the sampling event.
LOCATION			The name of the geographic place or transect label where the sampling occurred.
AREA				A calculated category field used to aggregate the sampling events by four groups of LOCATIONS.
TIME_PER			A calculated category field used to aggregate the sampling events by two-week date periods.
LATITUDE			The latitude, in decimal degrees ISO 6709 format, of the place where the sampling occurred (likely NAD 83 datum or NAD 27 datum).
LONGITUDE			The longitude, in decimal degrees ISO 6709 format, of the place where the sampling occurred (likely NAD 83 datum or NAD 27 datum).
S_SOCKEYE1			The count of smolt-sized Sockeye Salmon that were captured during the sampling event. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
S_SOCKEYE2			The count of smolt-sized Sockeye Salmon that were sampled (measured for length) during the sampling event. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
S_SOCKEYE3			The count of smolt-sized Sockeye Salmon that were examined (visually for bite-marks, CWT, experiment marks) during the sampling event. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
S_SOCKEYE4			The count of smolt-sized Sockeye Salmon that were examined during the sampling event and found to be bite-marked (i.e. evidence of a predator attack). Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
S_SOCKEYE5			The count of smolt-sized Sockeye Salmon that were examined during the sampling event and found to be missing the adipose fin, indicating that a coded-wire tag (CWT) had been previously applied. Scientific name: Oncorhynchus nerka. Uniform Resource Name: urn:lsid:marinespecies.org:taxname:254569.
