EVENT,STATION,Year,Month,Day,START_LAT,START_LONG,END_LAT,END_LONG,DISTANCE,DUR,FISH_NUMBER,DATE_CAPTURED,SPECIES,SHIP_FL,SHIP_WT,CWT_AGE,FIN_CLIP,COMMENTS,BATCH-DNA_NUMBER,STOCK_1,REGION_CODE_1,REGION_1,HSS_REGION_1,PROB_1,TOTAL_LOCI,COMMENT
101,BR01,2017,OCT,6,50.846,-126.944,50.857,-126.916,1.25,0.33,BCSI-201778-BR01-124-002,"Friday, October 06, 2017",CHINOOK,415,851,,,,63-0332,SOOS_CR_H,50,PUGET SOUND,PUGET SOUND,0.9231,14,
115,BR09,2017,OCT,7,50.818,-126.419,50.824,-126.387,0,0.33,BCSI-201778-BR09-124-002,"Saturday, October 07, 2017",CHINOOK,362,599,,,,63-0377,NIMPKISH,7,ECVI,ECVI,0.9997,15,
,,,,,,,,,,,BCSI-201778-BR13-124-005,"Saturday, October 07, 2017",CHINOOK,351,530,,,,63-0401,NIMPKISH,7,ECVI,ECVI,1,15,
,,,,,,,,,,,BCSI-201778-BR13-124-007,"Saturday, October 07, 2017",CHINOOK,330,425,,,,63-0403,NIMPKISH,7,ECVI,ECVI,1,15,
36,FH02,2017,OCT,1,51.758,-127.95,51.778,-127.965,1.32,0.33,BCSI-201778-FH02-124-011,"Sunday, October 01, 2017",CHINOOK,350,569,,,,63-0224,NIMPKISH,7,ECVI,ECVI,0.9999,15,
36,FH02,2017,OCT,1,51.758,-127.95,51.778,-127.965,1.32,0.33,BCSI-201778-FH02-124-012,"Sunday, October 01, 2017",CHINOOK,401,831,,,,63-0225,NIMPKISH,7,ECVI,ECVI,1,15,
56,FH14,2017,OCT,2,51.506,-127.779,51.517,-127.744,1.46,0.33,BCSI-201778-FH14-124-001,"Monday, October 02, 2017",CHINOOK,402,931,,,,63-0274,NIMPKISH,7,ECVI,ECVI,0.9944,15,
,,,,,,,,,,,BCSI-201778-QCSD05-124-001,"Friday, September 29, 2017",CHINOOK,390,720,,,,63-0202,COWICHAN,7,ECVI,ECVI,0.6093,15,
67,QCSD17,2017,OCT,3,51.362,-127.845,51.344,-127.835,1.14,0.33,BCSI-201778-QCSD17-124-001,"Tuesday, October 03, 2017",CHINOOK,420,1012,,,,63-0293,SKYKOMISH_SU,50,PUGET SOUND,PUGET SOUND,0.4166,15,
,,,,,,,,,,,BCSI-201778-QCST03-124-003,"Thursday, October 05, 2017",CHINOOK,359,522,,AD,,63-0325,SOOS_CR_H,50,PUGET SOUND,PUGET SOUND,0.9963,15,
