"FISH_NUMBER","DATE_CAPTURED","SPECIES","SHIP_FL","SHIP_SL","SHIP_TL","SHIP_ML","SHIP_WT","OTOLITH","CWT_AGE","GONAD_WT","FIN_CL","SEX","SAMPLE","COMMENTS","TEMPORARY_TAG"
"BCSI-2019125-QCSD01-NA-001","Thursday, Oct 3, 2019","SABLEFISH",380,"","","",510,"CK-1-A1","","","AD","F","Y","",""
"BCSI-2019125-JS01-112-001","Tuesday, Oct 1, 2019","CHUM",212,"","","",95,"CM-1-A1","","","","F","W","",""
"BCSI-2019125-JS01-112-002","Tuesday, Oct 1, 2019","CHUM",176,"","","",50,"CM-1-A2","","","","","W","",""
"BCSI-2019125-JS01-112-003","Tuesday, Oct 1, 2019","CHUM",169,"","","",50,"CM-1-A3","","","","M","W","",""
"BCSI-2019125-JS01-112-004","Tuesday, Oct 1, 2019","CHUM",165,"","","",49,"CM-1-A4","","","","M","W","",""
"BCSI-2019125-JS01-112-005","Tuesday, Oct 1, 2019","CHUM",190,"","","",73,"CM-1-A5","","","","M","W","",""
"BCSI-2019125-JS01-112-006","Tuesday, Oct 1, 2019","CHUM",196,"","","",75,"CM-1-A6","","","","F","M","",""
"BCSI-2019125-JS01-112-007","Tuesday, Oct 1, 2019","CHUM",197,"","","",82,"CM-1-A7","","","","F","M","",""
"BCSI-2019125-JS01-112-008","Tuesday, Oct 1, 2019","CHUM",211,"","","",97,"CM-1-A8","","","","M","M","",""
"BCSI-2019125-JS01-112-009","Tuesday, Oct 1, 2019","CHUM",191,"","","",77,"CM-1-A9","","","","F","M","",""
"BCSI-2019125-JS01-112-010","Tuesday, Oct 1, 2019","CHUM",185,"","","",69,"CM-1-A10","","","","F","M","",""
"BCSI-2019125-JS01-112-011","Tuesday, Oct 1, 2019","CHUM",200,"","","",82,"","","","","","","",""
"BCSI-2019125-JS01-112-012","Tuesday, Oct 1, 2019","CHUM",193,"","","",72,"","","","","","","",""
"BCSI-2019125-JS01-112-013","Tuesday, Oct 1, 2019","CHUM",196,"","","",78,"","","","","","","",""
"BCSI-2019125-JS01-112-014","Tuesday, Oct 1, 2019","CHUM",202,"","","",88,"","","","","","","",""
"BCSI-2019125-JS01-112-015","Tuesday, Oct 1, 2019","CHUM",198,"","","",84,"","","","","","","",""
"BCSI-2019125-JS01-112-016","Tuesday, Oct 1, 2019","CHUM",202,"","","",85,"","","","","","","",""
"BCSI-2019125-JS01-112-017","Tuesday, Oct 1, 2019","CHUM",198,"","","",83,"","","","","","","",""
"BCSI-2019125-JS01-112-018","Tuesday, Oct 1, 2019","CHUM",200,"","","",83,"","","","","","","",""
"BCSI-2019125-JS01-112-019","Tuesday, Oct 1, 2019","CHUM",204,"","","",85,"","","","","","","",""
"BCSI-2019125-JS01-112-020","Tuesday, Oct 1, 2019","CHUM",198,"","","",82,"","","","","","","",""
"BCSI-2019125-JS01-112-021","Tuesday, Oct 1, 2019","CHUM",192,"","","",72,"","","","","","","",""
"BCSI-2019125-JS01-112-022","Tuesday, Oct 1, 2019","CHUM",181,"","","",67,"","","","","","","",""
"BCSI-2019125-JS01-112-023","Tuesday, Oct 1, 2019","CHUM",195,"","","",79,"","","","","","","",""
"BCSI-2019125-JS01-112-024","Tuesday, Oct 1, 2019","CHUM",201,"","","",83,"","","","","","","",""
"BCSI-2019125-JS01-112-025","Tuesday, Oct 1, 2019","CHUM",193,"","","",70,"","","","","","","",""
"BCSI-2019125-JS01-112-026","Tuesday, Oct 1, 2019","CHUM",179,"","","",56,"","","","","","","",""
"BCSI-2019125-JS01-112-027","Tuesday, Oct 1, 2019","CHUM",208,"","","",96,"","","","","","","",""
"BCSI-2019125-JS01-112-028","Tuesday, Oct 1, 2019","CHUM",184,"","","",63,"","","","","","","",""
"BCSI-2019125-JS01-112-029","Tuesday, Oct 1, 2019","CHUM",201,"","","",89,"","","","","","","",""
"BCSI-2019125-JS01-112-030","Tuesday, Oct 1, 2019","CHUM",182,"","","",62,"","","","","","","",""
"BCSI-2019125-JS01-NA-001","Tuesday, Oct 1, 2019","SABLEFISH",250,"","","",137,"","","","","","W","",""
"BCSI-2019125-JS01-NA-002","Tuesday, Oct 1, 2019","SABLEFISH",232,"","","",99,"","","","","","W","",""
"BCSI-2019125-JS01-NA-003","Tuesday, Oct 1, 2019","SABLEFISH",236,"","","",126,"","","","","","W","",""
"BCSI-2019125-JS01-NA-004","Tuesday, Oct 1, 2019","SABLEFISH",240,"","","",136,"","","","","","W","",""
"BCSI-2019125-JS01-NA-005","Tuesday, Oct 1, 2019","SABLEFISH",210,"","","",86,"","","","","","W","",""
"BCSI-2019125-JS01-NA-006","Tuesday, Oct 1, 2019","SABLEFISH",260,"","","",150,"","","","","","","",""
"BCSI-2019125-JS01-NA-007","Tuesday, Oct 1, 2019","SABLEFISH",217,"","","",95,"","","","","","","",""
"BCSI-2019125-JS01-108-001","Tuesday, Oct 1, 2019","PINK",167,"","","",51,"PK-1-A1","","","","","W","",""
"BCSI-2019125-JS01-108-002","Tuesday, Oct 1, 2019","PINK",152,"","","",32,"PK-1-A2","","","","","W","",""
"BCSI-2019125-JS01-108-003","Tuesday, Oct 1, 2019","PINK",147,"","","",29,"PK-1-A3","","","","","W","",""
"BCSI-2019125-JS01-108-004","Tuesday, Oct 1, 2019","PINK",161,"","","",36,"PK-1-A4","","","","","W","",""
"BCSI-2019125-JS01-108-005","Tuesday, Oct 1, 2019","PINK",160,"","","",35,"PK-1-A5","","","","","W","",""
"BCSI-2019125-JS01-108-006","Tuesday, Oct 1, 2019","PINK",152,"","","",32,"PK-1-A6","","","","","M","",""
"BCSI-2019125-JS01-108-007","Tuesday, Oct 1, 2019","PINK",147,"","","",30,"PK-1-A7","","","","","M","",""
"BCSI-2019125-JS01-108-008","Tuesday, Oct 1, 2019","PINK",145,"","","",27,"PK-1-A8","","","","","M","",""
"BCSI-2019125-JS01-108-009","Tuesday, Oct 1, 2019","PINK",161,"","","",35,"PK-1-A9","","","","","M","",""
"BCSI-2019125-JS01-108-010","Tuesday, Oct 1, 2019","PINK",159,"","","",35,"PK-1-A10","","","","","M","",""
"BCSI-2019125-JS01-108-011","Tuesday, Oct 1, 2019","PINK",159,"","","",35,"","","","","","","",""
"BCSI-2019125-JS01-108-012","Tuesday, Oct 1, 2019","PINK",151,"","","",32,"","","","","","","",""
"BCSI-2019125-JS01-108-013","Tuesday, Oct 1, 2019","PINK",147,"","","",32,"","","","","","","",""
"BCSI-2019125-JS01-108-014","Tuesday, Oct 1, 2019","PINK",143,"","","",26,"","","","","","","",""
"BCSI-2019125-JS01-108-015","Tuesday, Oct 1, 2019","PINK",184,"","","",62,"","","","","","","",""
"BCSI-2019125-JS01-108-016","Tuesday, Oct 1, 2019","PINK",152,"","","",32,"","","","","","","",""
"BCSI-2019125-JS01-108-017","Tuesday, Oct 1, 2019","PINK",167,"","","",42,"","","","","","","",""
"BCSI-2019125-JS01-108-018","Tuesday, Oct 1, 2019","PINK",159,"","","",34,"","","","","","","",""
"BCSI-2019125-JS01-108-019","Tuesday, Oct 1, 2019","PINK",172,"","","",46,"","","","","","","",""
"BCSI-2019125-JS01-108-020","Tuesday, Oct 1, 2019","PINK",155,"","","",36,"","","","","","","",""
"BCSI-2019125-JS01-108-021","Tuesday, Oct 1, 2019","PINK",163,"","","",37,"","","","","","","",""
"BCSI-2019125-JS01-108-022","Tuesday, Oct 1, 2019","PINK",184,"","","",63,"","","","","","","",""
"BCSI-2019125-JS01-108-023","Tuesday, Oct 1, 2019","PINK",162,"","","",39,"","","","","","","",""
"BCSI-2019125-JS01-108-024","Tuesday, Oct 1, 2019","PINK",155,"","","",34,"","","","","","","",""
"BCSI-2019125-JS01-108-025","Tuesday, Oct 1, 2019","PINK",148,"","","",26,"","","","","","","",""
"BCSI-2019125-JS01-108-026","Tuesday, Oct 1, 2019","PINK",171,"","","",43,"","","","","","","",""
"BCSI-2019125-JS01-108-027","Tuesday, Oct 1, 2019","PINK",185,"","","",67,"","","","","","","",""
"BCSI-2019125-JS01-108-028","Tuesday, Oct 1, 2019","PINK",152,"","","",31,"","","","","","","",""
"BCSI-2019125-JS01-108-029","Tuesday, Oct 1, 2019","PINK",160,"","","",38,"","","","","","","",""
"BCSI-2019125-JS01-108-030","Tuesday, Oct 1, 2019","PINK",163,"","","",40,"","","","","","","",""
"BCSI-2019125-JS01-124-001","Tuesday, Oct 1, 2019","CHINOOK",170,"","","",49,"CK-1-A1","","","AD","","W","",""
"BCSI-2019125-JS01-124-002","Tuesday, Oct 1, 2019","CHINOOK",205,"","","",98,"CK-1-A2","","","","","W","",""
"BCSI-2019125-JS01-124-003","Tuesday, Oct 1, 2019","CHINOOK",163,"","","",51,"CK-1-A3","","","","","W","",""
"BCSI-2019125-JS01-124-004","Tuesday, Oct 1, 2019","CHINOOK",164,"","","",52,"CK-1-A4","","","","","W","",""
"BCSI-2019125-JS01-124-005","Tuesday, Oct 1, 2019","CHINOOK",106,"","","",12,"CK-1-A5","","","","","W","",""
"BCSI-2019125-JS01-124-006","Tuesday, Oct 1, 2019","CHINOOK",132,"","","",25,"CK-1-A6","","","","","M","",""
"BCSI-2019125-JS01-124-007","Tuesday, Oct 1, 2019","CHINOOK",154,"","","",38,"CK-1-A7","","","","","M","",""
"BCSI-2019125-JS01-124-008","Tuesday, Oct 1, 2019","CHINOOK",202,"","","",96,"CK-1-A8","","","AD","","M","",""
"BCSI-2019125-JS01-124-009","Tuesday, Oct 1, 2019","CHINOOK",160,"","","",48,"CK-1-A9","","","","","M","",""
"BCSI-2019125-JS01-124-010","Tuesday, Oct 1, 2019","CHINOOK",168,"","","",53,"CK-1-A10","","","","","M","",""
"BCSI-2019125-JS01-124-011","Tuesday, Oct 1, 2019","CHINOOK",174,"","","",59,"","","","","","","",""
"BCSI-2019125-JS01-124-012","Tuesday, Oct 1, 2019","CHINOOK",179,"","","",61,"","","","","","","",""
"BCSI-2019125-JS01-NA-001","Tuesday, Oct 1, 2019","HERRING",99,"","","",10,"","","","","","W","",""
"BCSI-2019125-JS01-NA-002","Tuesday, Oct 1, 2019","HERRING",108,"","","",13,"","","","","","W","",""
"BCSI-2019125-JS01-NA-003","Tuesday, Oct 1, 2019","HERRING",110,"","","",13,"","","","","","W","",""
"BCSI-2019125-JS01-NA-004","Tuesday, Oct 1, 2019","HERRING",106,"","","",13,"","","","","","W","",""
"BCSI-2019125-JS01-NA-005","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","W","",""
"BCSI-2019125-JS01-NA-006","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","M","",""
"BCSI-2019125-JS01-NA-007","Tuesday, Oct 1, 2019","HERRING",110,"","","",16,"","","","","","M","",""
"BCSI-2019125-JS01-NA-008","Tuesday, Oct 1, 2019","HERRING",106,"","","",13,"","","","","","M","",""
"BCSI-2019125-JS01-NA-009","Tuesday, Oct 1, 2019","HERRING",90,"","","",7,"","","","","","M","",""
"BCSI-2019125-JS01-NA-010","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","M","",""
"BCSI-2019125-JS01-NA-011","Tuesday, Oct 1, 2019","HERRING",105,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-012","Tuesday, Oct 1, 2019","HERRING",91,"","","",8,"","","","","","","",""
"BCSI-2019125-JS01-NA-013","Tuesday, Oct 1, 2019","HERRING",112,"","","",17,"","","","","","","",""
"BCSI-2019125-JS01-NA-014","Tuesday, Oct 1, 2019","HERRING",101,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-015","Tuesday, Oct 1, 2019","HERRING",109,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-016","Tuesday, Oct 1, 2019","HERRING",105,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-017","Tuesday, Oct 1, 2019","HERRING",94,"","","",9,"","","","","","","",""
"BCSI-2019125-JS01-NA-018","Tuesday, Oct 1, 2019","HERRING",105,"","","",12,"","","","","","","",""
"BCSI-2019125-JS01-NA-019","Tuesday, Oct 1, 2019","HERRING",100,"","","",10,"","","","","","","",""
"BCSI-2019125-JS01-NA-020","Tuesday, Oct 1, 2019","HERRING",106,"","","",13,"","","","","","","",""
"BCSI-2019125-JS01-NA-021","Tuesday, Oct 1, 2019","HERRING",102,"","","",11,"","","","","","","",""
"BCSI-2019125-JS01-NA-022","Tuesday, Oct 1, 2019","HERRING",87,"","","",7,"","","","","","","",""
"BCSI-2019125-JS01-NA-023","Tuesday, Oct 1, 2019","HERRING",96,"","","",9,"","","","","","","",""
"BCSI-2019125-JS01-NA-024","Tuesday, Oct 1, 2019","HERRING",109,"","","",15,"","","","","","","",""
