Cruise,Event,Station,Event_Type,Year,Month,Day,Target_Head,Start_Time,Start_Lat_Deg,Start_Lat_Min,Start_Long_Deg,Start_Long_Min,Stop_Time,Stop_Lat_Deg,Stop_Lat_Min,Stop_Long_Deg,Stop_Long_Min,Avg_Warp,Avg_Speed,Avg_Vertical_Net,Doorspread,Wingspread,Avg_Bottom_Depth,Avg_Head_Depth,Comments
2019-125,1,JS01,SET,2019,10,1,0,7:31,50,22.294,125,43.903,7:48,50,22.220,125,46.534,60,5.6,22.6,55.6,,165.6,0,wingtip sensors human error
2019-125,2,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,Aborted - drifted too far while removing twine that blocked the messenger
2019-125,3,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,4,,NET,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,5,JS02,SET,2019,10,1,15,10:38,50,26.947,126,0.987,10:57,50,27.552,126,3.634,75,5.9,15.1,67.8,,185.8,17,wingtip sensors human error
2019-125,6,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,7,,NET,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,8,JS03,SET,2019,10,1,0,13:15,50,29.577,126,13.129,13:31,50,29.853,126,15.516,60,4.9,22.3,58.2,,276.5,1.1,wingtip sensors human error. No nutrients cracked tubes.
2019-125,9,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,10,,NET,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,11,JS04,SET,2019,10,1,15,14:53,50,29.424,126,20.368,15:13,50,29.458,126,22.325,76.7,3.9,15.6,72.6,,381.63,15,wingtip sensors human error. No nutrients cracked tubes.
2019-125,12,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,13,,NET,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,14,JS05,SET,2019,10,1,0,16:29,50,30.169,126,25.11,16:48,50,30.080,126,27.377,70,4.3,23.3,63.9,,364.9,0.4,"wingtip sensors human error. Used zero for head depth if floats visible, but no sensor data. Then averaged for final number."
2019-125,15,,CTD,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,16,,Net,2019,10,1,,,,,,,,,,,,,,,,,,,
2019-125,17,JS06,SET,2019,10,1,15,18:04,50,30.604,126,30.359,18:23,50,30.566,126,32.765,71.7,4.7,15.9,65.2,,348.3,14.7,wingtip sensors human error. No oceanographic sampling too late
2019-125,18,JS07,SET,2019,10,2,0,7:45,50,30.825,126,37.045,8:05,50,31.474,126,39.502,66.7,5.3,23.6,57.7,,441.1,0,"Wingtip sesnor human error. Floats visible so assumed zero head depth, no reading."
2019-125,19,JS07,CTD,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,20,JS07,NET,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,21,JS08,SET,2019,10,2,15,10:03,50,32.921,126,43.588,10:22,50,32.988,126,46.038,71.7,4.8,16,68.4,,455.7,16.8,
2019-125,22,JS08,CTD,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,23,JS08,NET,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,24,QCST01,SET,2019,10,2,0,13:07,50,39.903,126,44.551,13:26,50,40.123,126,46.378,68,3.8,22,60.3,38.9,129.1,1.2,wing tip sensors fixed
2019-125,25,QCST01,CTD,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,26,QCST01,NET,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,27,QCST02,SET,2019,10,2,15,15:18,50,44.095,126,59.815,15:37,50,44.374,127,1.860,68.3,3.9,16.4,63.4,45.2,150.1,16.6,
2019-125,28,QCST02,CTD,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,29,QCST02,NET,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,30,QCST03,SET,2019,10,2,0,17:07,50,47.285,127,13.437,17:27,50,47.691,127,15.505,65,4.3,22.3,58.8,37.4,161.8,0,
2019-125,31,QCST03,CTD,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,32,QCST03,NET,2019,10,2,,,,,,,,,,,,,,,,,,,
2019-125,33,QCST04,SET,2019,10,3,15,8:00,50,53.729,127,37.636,8:19,50,54.658,127,39.199,70,4.2,15.4,60.4,39.4,435.9,16.9,
2019-125,34,QCST04,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,35,QCST04,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,36,QCST05,SET,2019,10,3,0,10:05,50,58.033,127,48.467,10:25,51,0.087,127,48.000,467,4.8,22.9,63.5,39.3,152.7,0,
2019-125,37,QCST05,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,38,QCST05,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,39,QCSD01,SET,2019,10,3,15,11:34,51,3.891,127,49.514,11:53,51,5.374,127,49.623,73.3,4.5,14.5,65,,11.4,13.3,
2019-125,40,QCSD01,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,41,QCSD01,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,42,QCSD02,SET,2019,10,3,0,13:32,51,13.614,127,53.858,13:52,51,15.029,127,54.080,61.7,4.4,25.5,55.8,36,135.4,0,"high current area, flood tide"
2019-125,43,QCSD02,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,44,QCSD02,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,45,QCSD03,SET,2019,10,3,15,15:11,51,18.866,127,57.867,15:30,51,19.683,127,59.417,75,12.5,15,65.1,38.4,156.1,17.4,"first 3 min had no boat sensors measurements, then fine"
2019-125,46,QCSD03,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,47,QCSD03,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,48,RI01,SET,2019,10,3,0,17:14,51,23.29,127,50.878,17:32,51,23.833,127,49.400,66.7,3.5,20.9,61.8,39.4,105.5,0,
2019-125,49,RI01,CTD,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,50,RI01,NET,2019,10,3,,,,,,,,,,,,,,,,,,,
2019-125,51,T01,SET,2019,10,4,15,8:01,51,23.702,127,541,8:01,51,23.450,128,9.567,68.3,4.2,14.9,67.9,,129.2,14.7,
2019-125,52,T01,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,53,T01,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,54,T02,SET,2019,10,4,0,10:19,51,18.078,128,21.46,10:38,51,17.235,128,20.288,71.6,3.7,24.3,65.2,40.4,79.1,0,strong current
2019-125,55,T02,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,56,T02,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,57,T03,SET,2019,10,4,15,11:59,51,13.759,128,26.217,12:18,51,13.087,128,27.958,75,4.2,14.3,67,,184.7,15.6,
2019-125,58,T03,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,59,T03,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,60,T04,SET,2019,10,4,0,13:48,51,9.66,128,33.57,14:06,51,8.825,128,34.989,65,4,24.6,62.1,42.6,161.2,0,no headrope data after impact
2019-125,61,T04,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,62,T04,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,63,T05,SET,2019,10,4,15,15:36,51,5.22,128,41.786,15:56,51,4.392,128,43.083,70,3.8,5.8,67.9,,67,16.3,no headrope data after impact
2019-125,64,T05,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,65,T05,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,66,T06,SET,2019,10,4,0,17:10,51,0.544,128,47.757,17:29,50,59.750,128,49.417,60,4.2,22.6,56.4,35.9,63.9,0,no headrope data after impact
2019-125,67,T06,CTD,2019,10,4,,,,,,,,,,,,,,,,,,,
2019-125,68,T06,NET,2019,10,4,,,,,,,,,,,,,,,,,,,
