CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
201778,QCSD01,SABLEFISH,001,380,510,Y,AD,F,CK-1-A1,,254,Y,3X0,3,1,,,,,,,
2019-125,JS01,CHUM,001,212,95,,,F,CM-1-A1,,112301,W,M011,0.7,5,,,,,,,
2019-125,JS01,CHUM,002,176,50,,,,CM-1-A2,,112302,W,RAB,1,3,3G0,0.01,3,,,,
2019-125,JS01,CHUM,003,169,50,,,M,CM-1-A3,,112303,W,M011,0.3,5,,,,,,,
2019-125,JS01,CHUM,004,165,49,,,M,CM-1-A4,,112304,W,M011,0.5,5,,,,,,,
2019-125,JS01,CHUM,005,190,73,,,M,CM-1-A5,,112305,W,M011,0.7,5,,,,,,,
2019-125,JS01,CHUM,006,196,75,,,F,CM-1-A6,,112306,M,M011,0.8,5,,,,,,,
2019-125,JS01,CHUM,007,197,82,,,F,CM-1-A7,,112307,M,M011,0.7,5,,,,,,,
2019-125,JS01,CHUM,008,211,97,,,M,CM-1-A8,,112308,M,M011,0.5,5,,,,,,,
2019-125,JS01,CHUM,009,191,77,,,F,CM-1-A9,,112309,M,M011,0.4,5,,,,,,,
2019-125,JS01,CHUM,010,185,69,,,F,CM-1-A10,,112310,M,M011,0.9,5,,,,,,,
2019-125,JS01,CHUM,011,200,82,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,012,193,72,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,013,196,78,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,014,202,88,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,015,198,84,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,016,202,85,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,017,198,83,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,018,200,83,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,019,204,85,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,020,198,82,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,021,192,72,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,022,181,67,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,023,195,79,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,024,201,83,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,025,193,70,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,026,179,56,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,027,208,96,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,028,184,63,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,029,201,89,,,,,,,,,,,,,,,,,
2019-125,JS01,CHUM,030,182,62,,,,,,,,,,,,,,,,,
2019-125,JS01,SABLEFISH,001,250,137,,,,,,,W,M002,,,,,,,,,
2019-125,JS01,SABLEFISH,002,232,99,,,,,,,W,3G0,1.5,3,,,,,,,
2019-125,JS01,SABLEFISH,003,236,126,,,,,,,W,96,8.5,3,,,,,,,
2019-125,JS01,SABLEFISH,004,240,136,,,,,,,W,96,8.5,3,,,,,,,
2019-125,JS01,SABLEFISH,005,210,86,,,,,,,W,M002,,,,,,,,,
2019-125,JS01,SABLEFISH,006,260,150,,,,,,,,M002,,,,,,,,,
2019-125,JS01,SABLEFISH,007,217,95,,,,,,,,96,7,3,,,,,,,
2019-125,JS01,PINK,001,167,51,,,,PK-1-A1,,108201,W,RAB,0.1,5,,,,,,,
2019-125,JS01,PINK,002,152,32,,,,PK-1-A2,,108202,W,M002,,,,,,,,,
2019-125,JS01,PINK,003,147,29,,,,PK-1-A3,,108203,W,M002,,,,,,,,,
2019-125,JS01,PINK,004,161,36,,,,PK-1-A4,,108204,W,M011,0.01,5,,,,,,,
2019-125,JS01,PINK,005,160,35,,,,PK-1-A5,,108205,W,RAB,0.1,3,,,,,,,
2019-125,JS01,PINK,006,152,32,,,,PK-1-A6,,108206,M,M011,0.01,5,,,,,,,
2019-125,JS01,PINK,007,147,30,,,,PK-1-A7,,108207,M,M002,,,,,,,,,
2019-125,JS01,PINK,008,145,27,,,,PK-1-A8,,108208,M,M002,,,,,,,,,
2019-125,JS01,PINK,009,161,35,,,,PK-1-A9,,108209,M,M002,,,,,,,,,
2019-125,JS01,PINK,010,159,35,,,,PK-1-A10,,108210,M,M002,,,,,,,,,
2019-125,JS01,PINK,011,159,35,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,012,151,32,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,013,147,32,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,014,143,26,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,015,184,62,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,016,152,32,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,017,167,42,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,018,159,34,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,019,172,46,,,,,,,,,,,,,,,,,
2019-125,JS01,PINK,020,155,36,,,,,,,,,,,,,,,,,
