TRIP_YEAR,STRATUM,DayNight,SumOfOfficialVolumeSwept_km3
2017,504,Day,0.051020486
2017,504,Night,0.051231995
2017,505,Day,0.077589105
2017,505,Night,0.071853764
2017,506,Day,0.035368248
2017,506,Night,0.011192962
2017,507,Day,0.046283339
2017,507,Night,0.042924337
2017,508,Day,0.073923085
2017,508,Night,0.048622342
2017,509,Day,0.043704459
2017,509,Night,0.039775857
2017,510,Day,0.096178105
2017,510,Night,0.082733944
2017,511,Day,0.089979532
2017,511,Night,0.140905942
2018,504,Day,0.055689246
2018,504,Night,0.053548695
2018,505,Day,0.115280006
2018,505,Night,0.068783096
2018,506,Day,0.04107733
2018,506,Night,0.034311818
2018,507,Day,0.043992076
2018,507,Night,0.027910627
2018,508,Day,0.043349728
2018,508,Night,0.047668396
2018,509,Day,0.054138163
2018,509,Night,0.046646138
2018,510,Day,0.106998517
2018,510,Night,0.175161982
2018,511,Day,0.216120168
2018,511,Night,0.185900611
2019,504,Day,0.064548048
2019,504,Night,0.047898784
2019,505,Day,0.083510327
2019,505,Night,0.107130204
2019,506,Day,0.044027865
2019,506,Night,0.052517469
2019,507,Day,0.06819569
2019,507,Night,0.07200142
2019,508,Day,0.087333598
2019,508,Night,0.071522391
2019,509,Day,0.057344728
2019,509,Night,0.074500323
2019,510,Day,0.13636705
2019,510,Night,0.132607087
2019,511,Day,0.162765953
2019,511,Night,0.185974149
