"event","set","time","date","julDay","gridID","lat","long","setDist"
"CT2019_001",1,845,"11/7/2019",191,131,48.7902166666667,-126.025983333333,4147.67854754274
"CT2019_002",2,930,"11/7/2019",191,131,48.7955666666667,-126.08185,2821.96618260548
"CT2019_003",3,1015,"11/7/2019",191,130,48.7961333333333,-126.12025,3185.58332048733
"CT2019_004",4,1100,"11/7/2019",191,130,48.7898,-126.162533333333,3299.40818996827
"CT2019_005",5,1145,"11/7/2019",191,129,48.7790833333333,-126.2044,3669.14522890461
"CT2019_006",6,1230,"11/7/2019",191,130,48.7769333333333,-126.154583333333,3316.0727530787
"CT2019_007",7,1315,"11/7/2019",191,130,48.7787666666667,-126.10955,3764.21948497261
"CT2019_008",8,1400,"11/7/2019",191,131,48.7786333333333,-126.058333333333,3594.14171662185
"CT2019_009",9,1430,"11/7/2019",191,131,48.7803666666667,-126.0095,2663.50680984021
"CT2019_010",10,1500,"11/7/2019",191,132,48.7841,-125.9737,2928.69574830055
"CT2019_011",11,1530,"11/7/2019",191,132,48.7849333333333,-125.933866666667,2654.29231821817
"CT2019_012",12,1600,"11/7/2019",191,132,48.7815333333333,-125.898116666667,3209.16416569588
"CT2019_013",13,1635,"11/7/2019",191,133,48.7752,-125.855516666667,2325.00516554755
"CT2019_014",14,1700,"11/7/2019",191,117,48.7697,-125.825,2370.67966300932
"CT2019_015",15,1735,"11/7/2019",191,117,48.7669666666667,-125.793016666667,NA
"CT2019_016",16,720,"12/7/2019",192,103,48.6446166666667,-125.633733333333,2414.01459703857
"CT2019_017",17,800,"12/7/2019",192,87,48.6232,-125.639083333333,2749.81955607694
"CT2019_018",18,830,"12/7/2019",192,87,48.60305,-125.6607,806.490421986142
"CT2019_019",19,900,"12/7/2019",192,87,48.6084,-125.653316666667,3261.58687868119
"CT2019_020",20,935,"12/7/2019",192,87,48.6302666666667,-125.623833333333,912.589250326067
"CT2019_021",21,1005,"12/7/2019",192,87,48.6221333333333,-125.622183333333,741.548258811114
"CT2019_022",22,1120,"12/7/2019",192,87,48.6195666666667,-125.631466666667,2099.62536564301
"CT2019_023",23,1200,"12/7/2019",192,87,48.63725,-125.621483333333,1756.13596151148
"CT2019_024",24,1230,"12/7/2019",192,87,48.6238333333333,-125.63405,1613.34805780265
"CT2019_025",25,1315,"12/7/2019",192,87,48.6373333333333,-125.626033333333,2417.5451624199
"CT2019_026",26,615,"15/7/2019",195,168,48.9131333333333,-125.539916666667,2847.60465770846
