"fish","event","fl","circ","wt","size","clip","dna","acoustic","pit","date","lat","long"
"CK01","CT2019_001",84,50,16.0186367126625,"large","N",401,7689,"989.001030620028","11/7/2019",48.7902166666667,-126.025983333333
"CK02","CT2019_002",77,43,10.8601017366281,"large","N",402,7690,"989.001030620046","11/7/2019",48.7955666666667,-126.08185
"CK03","CT2019_003",71,43,10.0138600428649,"medium","N",403,NA,"989.001030620047","11/7/2019",48.7961333333333,-126.12025
"CK04","CT2019_007",68,44,10.0420070759457,"medium","N",404,7691,"989.001030620024","11/7/2019",48.7787666666667,-126.10955
"CK05","CT2019_007",52,30,3.5698676102505,"sublegal","N",405,NA,NA,"11/7/2019",48.7787666666667,-126.10955
"CK06","CT2019_012",84,45,12.9750957372566,"large","N",406,7692,"989.001030620005","11/7/2019",48.7815333333333,-125.898116666667
"CK07","CT2019_013",38,23,1.53336492951401,"sublegal","N",407,NA,"989.001030619985","11/7/2019",48.7752,-125.855516666667
"CK08","CT2019_015",70,42,9.41895838704555,"medium","Y",408,7693,"989.001030620029","11/7/2019",48.7669666666667,-125.793016666667
"CK09","CT2019_015",72,43,10.1549003251587,"medium","N",409,NA,"989.001030619968","11/7/2019",48.7669666666667,-125.793016666667
"CK10","CT2019_016",61,38,6.71897902951507,"medium","Y",410,7694,"989.001030619981","12/7/2019",48.6446166666667,-125.633733333333
"CK11","CT2019_016",81,44,11.9618025463471,"large","N",411,7695,"989.001030619996","12/7/2019",48.6446166666667,-125.633733333333
"CK12","CT2019_017",65,46,10.4914442545695,"medium","Y",412,NA,"989.001030620023","12/7/2019",48.6232,-125.639083333333
"CK13","CT2019_017",66,41,8.46287461296692,"medium","Y",413,7696,"989.001030620050","12/7/2019",48.6232,-125.639083333333
"CK14","CT2019_019",61,34,5.37890564966718,"medium","Y",414,NA,"989.001030620015","12/7/2019",48.6084,-125.653316666667
"CK15","CT2019_019",67,40,8.177132645702,"medium","N",415,7697,"989.001030620027","12/7/2019",48.6084,-125.653316666667
"CK16","CT2019_020",80,49,14.6517130465153,"large","N",416,7698,"989.001030619980","12/7/2019",48.6302666666667,-125.623833333333
"CK17","CT2019_020",56,36,5.53604084789616,"medium","N",417,NA,"989.001030620040","12/7/2019",48.6302666666667,-125.623833333333
"CK18","CT2019_021",59,38,6.49868463510473,"medium","N",418,7699,"989.001030620042","12/7/2019",48.6221333333333,-125.622183333333
"CK19","CT2019_021",73,47,12.3005585732086,"medium","Y",419,7700,"989.001030620025","12/7/2019",48.6221333333333,-125.622183333333
"CK20","CT2019_021",78,45,12.0483031845954,"large","N",420,7701,"989.001030620004","12/7/2019",48.6221333333333,-125.622183333333
"CK21","CT2019_021",65,37,6.78770660893463,"medium","N",421,NA,"989.001030619972","12/7/2019",48.6221333333333,-125.622183333333
"CK22","CT2019_021",77,46,12.4283262707977,"large","N",422,7702,"989.001030619991","12/7/2019",48.6221333333333,-125.622183333333
"CK23","CT2019_021",70,43,9.87281976057099,"medium","N",423,NA,"989.001030620058","12/7/2019",48.6221333333333,-125.622183333333
