fish,event,set,troughIn,troughOut,gearDepth,gearType,fl,circ,hookLoc,clip,dna,gill,scaleBook,scaleNumber,pitLeader,pitID,floy,acoustic,injury,scaleLoss,finDam,E1,E2,vor,tailGrab,bodyFlex,vent,ori,comment
CK01,CT2019_001,001,0910,0919,28,spoon,84,50,corner,N,401,CF01,11972,1-2,989.0010306,20028,002,7689,1,1,1,10.9,6.3,0,0,0,0,0,RECAPTURED (see file)
CK02,CT2019_002,002,1002,1006,32,flasher,77,43,corner,N,402,CF02,11972,3-5,989.0010306,20046,003,7690,0,0,1,NA,NA,0,0,0,0,0,fatmeter died
CK03,CT2019_003,003,1035,1039,32,flasher,71,43,corner,N,403,NA,11972,6-8,989.0010306,20047,NA,NA,2,0,1,9.8,5.9,0,0,0,0,0,no tag due to bleeding from mouth
CK04,CT2019_007,007,1319,1325,20,flasher,68,44,corner,N,404,CF03,11972,9-10,989.0010306,20024,004,7691,0,1,1,NA,NA,0,0,0,0,0,fatmeter died
CK05,CT2019_007,007,1340,1345,24,spoon,52,30,corner,N,405,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,0,0,0,0,0,forgot to take a lot of data :(
CK06,CT2019_012,012,1605,1611,24,spoon,84,45,corner,N,406,CF04,11972,11-13,989.0010306,20005,005,7692,0,1,1,10.6,7.7,0,0,0,0,0,
CK07,CT2019_013,013,1655,1657,26,flasher,38,23,corner,N,407,NA,NA,NA,989.0010306,19985,NA,NA,0,0,0,NA,NA,0,0,0,0,0,
CK08,CT2019_015,015,1748,1754,30,flasher,70,42,corner,Y,408,CF05,11972,14-15,989.0010306,20029,006,7693,0,1,1,8.2,4.4,0,0,0,0,0,
CK09,CT2019_015,015,1757,1802,28,spoon,72,43,corner,N,409,NA,11972,16-17,989.0010306,19968,NA,NA,1,2,1,6.5,5.6,0,0,0,0,0,
CK10,CT2019_016,016,0737,0742,18,flasher,61,38,corner,Y,410,CF06,11972,18-19,989.0010306,19981,007,7694,0,0,1,6.2,1.4,0,0,0,0,0,
CK11,CT2019_016,016,0750,0755,22,flasher,81,44,corner,N,411,CF07,11972,20-22,989.0010306,19996,008,7695,0,0,1,NA,NA,0,0,0,0,0,fatmeter died
CK12,CT2019_017,017,0805,0808,22,flasher,65,46,corner,Y,412,NA,11972,23-24,989.0010306,20023,NA,NA,2,2,2,NA,NA,0,0,0,0,0,too beat up to tag; fatmeter died
CK13,CT2019_017,017,0820,0825,30,flasher,66,41,corner,Y,413,CF08,11972,25-26,989.0010306,20050,009,7696,1,1,2,NA,NA,0,0,0,0,0,fatmeter died
CK14,CT2019_019,019,0907,0909,24,spoon,61,34,corner,Y,414,NA,11972,27-28,989.0010306,20015,NA,NA,0,1,1,NA,NA,0,0,0,0,0,
CK15,CT2019_019,019,0921,0926,22,flasher,67,40,corner,N,415,CF09,11972,29-30,989.0010306,20027,010,7697,1,0,0,5.2,3.1,0,0,0,0,0,
CK16,CT2019_020,020,0931,0935,26,flasher,80,49,corner,N,416,CF10,11972,31-32,989.0010306,19980,011,7698,1,0,0,9.0,5.8,0,0,0,0,0,
CK17,CT2019_020,020,0943,0946,28,spoon,56,36,corner,N,417,NA,11972,33-34,989.0010306,20040,NA,NA,0,1,1,4.2,2.3,0,0,0,0,0,
CK18,CT2019_021,021,0950,0956,26,flasher,59,38,corner,N,418,CF11,11972,35-37,989.0010306,20042,012,7699,0,0,0,4.7,1.8,0,0,0,0,0,
CK19,CT2019_021,021,1009,1014,26,flasher,73,47,corner,Y,419,CF12,11972,38-39,989.0010306,20025,013,7700,0,0,0,5.7,2.4,0,0,0,0,0,
CK20,CT2019_021,021,1016,1021,30,flasher,78,45,corner,N,420,CF13,11972,40-41,989.0010306,20004,014,7701,1,0,0,10.9,7.6,0,0,0,0,0,
CK21,CT2019_021,021,1028,1031,16,spoon,65,37,corner,N,421,NA,11972,42,989.0010306,19972,NA,NA,0,0,0,3.6,1.5,0,0,0,0,0,
CK22,CT2019_021,021,1031,1036,22,flasher,77,46,corner,N,422,CF14,11972,43-44,989.0010306,19991,015,7702,0,0,1,12.6,7.2,0,0,0,0,0,
CK23,CT2019_021,021,1038,1044,22,flasher,70,43,corner,N,423,NA,11972,45-46,989.0010306,20058,NA,NA,0,0,0,5.6,3.2,0,0,0,0,0,
CK24,CT2019_022,022,1132,1135,26,spoon,54,33,corner,N,424,NA,15631,1-2,989.0010306,20056,NA,NA,0,0,0,5.7,1.5,0,0,0,0,0,
