fish,event,fl,circ,clip,dna,acoustic,pit
CK01,CT2019_001,84,50,N,401,7689,989.001030620028
CK02,CT2019_002,77,43,N,402,7690,989.001030620046
CK03,CT2019_003,71,43,N,403,NA,989.001030620047
CK04,CT2019_007,68,44,N,404,7691,989.001030620024
CK05,CT2019_007,52,30,N,405,NA,NA
CK06,CT2019_012,84,45,N,406,7692,989.001030620005
CK07,CT2019_013,38,23,N,407,NA,989.001030619985
CK08,CT2019_015,70,42,Y,408,7693,989.001030620029
CK09,CT2019_015,72,43,N,409,NA,989.001030619968
CK10,CT2019_016,61,38,Y,410,7694,989.001030619981
CK11,CT2019_016,81,44,N,411,7695,989.001030619996
CK12,CT2019_017,65,46,Y,412,NA,989.001030620023
CK13,CT2019_017,66,41,Y,413,7696,989.00103062005
CK14,CT2019_019,61,34,Y,414,NA,989.001030620015
CK15,CT2019_019,67,40,N,415,7697,989.001030620027
CK16,CT2019_020,80,49,N,416,7698,989.00103061998
CK17,CT2019_020,56,36,N,417,NA,989.00103062004
CK18,CT2019_021,59,38,N,418,7699,989.001030620042
CK19,CT2019_021,73,47,Y,419,7700,989.001030620025
CK20,CT2019_021,78,45,N,420,7701,989.001030620004
CK21,CT2019_021,65,37,N,421,NA,989.001030619972
CK22,CT2019_021,77,46,N,422,7702,989.001030619991
CK23,CT2019_021,70,43,N,423,NA,989.001030620058
CK24,CT2019_022,54,33,N,424,NA,989.001030620056
CK25,CT2019_022,64,39,N,425,7703,989.001030620018
CK26,CT2019_022,72,46,N,426,7704,989.001030620045
CK27,CT2019_022,59,35,N,427,NA,989.001030619964
CK28,CT2019_022,53,30,N,428,NA,NA
CK29,CT2019_023,54,31,N,429,NA,NA
CK30,CT2019_023,68,42,N,430,7705,989.001030620007
CK31,CT2019_023,71,48,N,431,7706,989.001030619994
CK32,CT2019_023,71,43,N,432,NA,989.001030619982
CK33,CT2019_024,57,32,N,433,NA,NA
CK34,CT2019_024,63,38,N,434,7707,989.001030619986
CK35,CT2019_025,62,34,N,435,7708,989.001030619976
CK36,CT2019_025,72,47,N,436,NA,989.001030620048
CK37,CT2019_025,72,42,N,437,AN,989.001030620035
